N	4gram	Tiupa_Hudo_1	Literetu
1	в то же время	5	9
2	состоит в том что	4	3
3	одно и то же	3	2
4	мы имеем дело с	1	1
5	числе и трагическое есть	1	1
6	о жизни по всеохватывающей	1	1
7	по всеохватывающей своей широте	1	1
8	какое-то утверждение о жизни	1	1
9	гегель именовал веком героев	1	1
10	утверждение о жизни по	1	1
11	бы то ни было	1	1
12	с этой точки зрения	1	1
13	исходит из того что	1	1
14	в роли ценностного центра	1	1
15	своей широте на отдельные	1	1
16	рассказ о счастье существования	1	1
17	всеохватывающей своей широте на	1	1
18	широте на отдельные слова	1	1
19	на отдельные слова не	1	1
20	может быть это точка	1	1
21	том числе и трагическое	1	1
22	всей своей полноте и	1	1
23	трагическое есть рассказ о	1	1
24	в том числе и	1	1
25	лишь для того чтобы	1	1
26	и в то же	1	1
27	и трагическое есть рассказ	1	1
28	искусство в том числе	1	1
29	отдельные слова не разложимое	1	1
30	есть рассказ о счастье	1	1
31	быть это точка безумия	1	1
32	приводит к тому что	2	1
33	креативного и рецептивного сознаний	1	1
34	жизни по всеохватывающей своей	1	1
35	во всей своей полноте	1	1
