N	3gram	Voloshinov_1	Psycholo
1	для того чтобы	7	19
2	в том что	1	14
3	в зависимости от	5	6
4	о том что	2	6
5	к тому что	2	6
6	мы увидим что	2	6
7	в самом деле	1	5
8	до сих пор	1	5
9	с другой стороны	1	5
10	по сравнению с	1	4
11	заключает в себе	4	4
12	тот факт что	1	4
13	и как бы	1	4
14	не только не	1	4
15	иметь в виду	1	3
16	то же самое	4	3
17	должен был бы	1	3
18	вместе с тем	2	3
19	на этот вопрос	1	3
20	одно и то	3	3
21	мы все же	1	3
22	и то же	3	3
23	о котором мы	1	3
24	и тем же	1	3
25	с самого начала	4	3
26	мы видим что	2	3
27	можно было бы	1	3
28	в этом отношении	2	3
29	и того же	1	2
30	что иное как	2	2
31	мы никогда не	5	2
32	и той же	2	2
33	одного и того	1	2
34	в этом случае	3	2
35	мы должны будем	1	2
36	с точки зрения	5	2
37	котором мы говорили	1	2
38	одной и той	2	2
39	никогда не найдем	1	2
40	таким образом мы	1	2
41	не только в	3	2
42	в конце концов	3	2
43	зависимости от того	2	2
44	мы говорили выше	1	2
45	в том и	1	2
46	все то что	2	2
47	по себе не	1	2
48	которое существует между	1	2
49	то что мы	4	2
50	само по себе	1	2
51	не может быть	2	2
52	вопрос о том	1	2
53	не что иное	2	2
54	той или иной	3	2
55	можно сказать что	2	2
56	для этого необходимо	1	2
57	как бы в	3	2
58	на самом деле	3	2
59	именно потому что	1	2
60	это же самое	1	1
61	в нашем сознании	1	1
62	только потому что	2	1
63	как только мы	1	1
64	прежде всего на	1	1
65	или иного решения	1	1
66	чуть ли не	2	1
67	мы имеем в	1	1
68	более или менее	1	1
69	равно как и	2	1
70	для наших целей	1	1
71	то есть к	1	1
72	и в этом	1	1
73	мы увидим то	1	1
74	мы не имеем	2	1
75	в другом месте	1	1
76	иметь дело со	1	1
77	несмотря на это	1	1
78	и для того	2	1
79	тому же способу	1	1
80	которая могла бы	1	1
81	они находятся в	1	1
82	по крайней мере	1	1
83	то или иное	4	1
84	между языком и	1	1
85	язык и что	1	1
86	и в эти	1	1
87	мы не можем	1	1
88	в литературном произведении	1	1
89	и вот это	1	1
90	если мы возьмем	1	1
91	как только он	1	1
92	мы можем подвести	1	1
93	то для того	1	1
94	содержание и форму	2	1
95	смысле этого слова	2	1
96	язык которым он	1	1
97	и при этом	1	1
98	и никак не	1	1
99	связь между языком	1	1
100	благодаря тому что	1	1
101	как и вообще	1	1
102	но вместе с	1	1
103	и в романе	1	1
104	не только о	1	1
105	у нас не	2	1
106	когда мы говорили	1	1
107	того или иного	5	1
108	первой и второй	1	1
109	собственном смысле слова	1	1
110	мы показали что	1	1
111	в свою очередь	4	1
112	в собственном смысле	1	1
113	в конечном счете	1	1
114	мы видели что	2	1
115	это сделать то	1	1
116	и уже через	1	1
117	и т.п и	2	1
118	тем что он	1	1
119	согласие или несогласие	1	1
120	но как только	1	1
121	и все же	1	1
122	что у нас	2	1
123	но не только	1	1
124	элементами из которых	1	1
125	они как бы	1	1
126	и тем более	1	1
127	в жизни и	1	1
128	в русской литературе	1	1
129	мы совершенно не	1	1
