N	3gram	Tiupa_Hudo_1	Vladivir
1	в том что	7	9
2	в связи с	1	8
3	в то время	1	6
4	тем не менее	3	6
5	по крайней мере	1	4
6	содержит в себе	1	4
7	более или менее	5	3
8	с точки зрения	3	3
9	в отличие от	7	3
10	в то же	5	3
11	точно так же	1	3
12	так или иначе	3	3
13	то же время	5	3
14	о том что	1	3
15	в настоящее время	1	2
16	том что он	1	2
17	также еще и	1	2
18	и на его	1	2
19	так и не	4	2
20	в свою очередь	2	2
21	а в том	1	2
22	заключается в том	1	2
23	что иное как	1	1
24	а также еще	1	1
25	ни к чему	1	1
26	на котором он	1	1
27	а не с	1	1
28	в том числе	2	1
29	он не только	1	1
30	в этом случае	1	1
31	не было и	1	1
32	не менее не	1	1
33	себе отчет в	1	1
34	и в то	1	1
35	а также в	1	1
36	бы то ни	1	1
37	сказать что для	1	1
38	при этом в	1	1
39	только то что	1	1
40	на руках и	1	1
41	отчет в том	1	1
42	может быть и	2	1
43	до известной степени	2	1
44	в самом начале	1	1
45	не содержит в	1	1
46	и не могла	1	1
47	и в том	1	1
48	не может быть	3	1
49	к чему не	1	1
50	и прежде всего	1	1
51	можно сказать что	3	1
52	в этом смысле	3	1
53	больше и больше	1	1
54	не что иное	1	1
55	в котором по	1	1
56	в сравнении с	1	1
57	для того чтобы	2	1
58	в себе в	1	1
59	к тому же	1	1
60	является как бы	1	1
