N	3gram	Medvedev_F_1	EvropaiC
1	в том что	1	16
2	до сих пор	6	12
3	по отношению к	4	10
4	с точки зрения	13	8
5	на самом деле	6	7
6	более или менее	6	7
7	друг от друга	2	6
8	что касается до	1	6
9	по сравнению с	1	5
10	может быть и	3	4
11	с другой стороны	1	4
12	не может быть	5	4
13	тем не менее	1	4
14	не может не	1	3
15	в настоящее время	10	3
16	так же как	1	3
17	в данном случае	1	3
18	так или иначе	1	3
19	в связи с	2	3
20	в целом ряде	2	3
21	заключается в том	1	3
22	и может быть	1	2
23	в том и	1	2
24	как и все	2	2
25	бы то ни	3	2
26	то же время	8	2
27	вместе с тем	1	2
28	то ни было	1	2
29	с одной стороны	4	2
30	во всяком случае	4	2
31	между этими двумя	1	2
32	в свою очередь	6	2
33	ничего общего с	1	2
34	но все же	1	2
35	в то же	8	2
36	в своем целом	2	2
37	и в том	1	2
38	уже знаем что	1	1
39	нет и не	2	1
40	еще далеко не	1	1
41	все эти вопросы	1	1
42	социальной жизни и	2	1
43	не говоря уже	1	1
44	не только с	1	1
45	что в данном	1	1
46	в этом пункте	2	1
47	как в его	1	1
48	таким образом оказывается	1	1
49	и культуры в	1	1
50	науки в частности	1	1
51	и не может	2	1
52	в лучшем случае	3	1
53	говоря уже о	1	1
54	они вовсе не	1	1
55	в зависимости от	2	1
56	между тем как	1	1
57	но для этого	1	1
58	элементов входящих в	1	1
59	том числе и	1	1
60	в то что	1	1
61	широком смысле слова	1	1
62	но самые эти	1	1
63	в самой природе	1	1
64	может быть вполне	1	1
65	и с точки	1	1
66	в высшей степени	1	1
67	все-таки не в	1	1
68	состоит в том	1	1
69	и в нашем	1	1
70	быть и не	2	1
71	и от всех	1	1
72	только с точки	1	1
73	так и от	1	1
74	но и с	1	1
75	но вместе с	1	1
76	во всех их	1	1
77	вместо того чтобы	1	1
78	все то что	1	1
79	социальная жизнь и	1	1
80	именно в том	1	1
81	в широком смысле	1	1
82	до тех пор	1	1
83	ко всем вообще	1	1
84	та или иная	1	1
85	хотя бы в	1	1
86	как бы ни	3	1
87	смысле этого слова	3	1
88	с самого начала	1	1
89	не только не	2	1
90	может показаться что	1	1
91	при этом не	1	1
92	не менее в	1	1
93	и в сознании	1	1
94	которого они так	1	1
95	бы при этом	1	1
96	в том числе	1	1
97	к тому что	1	1
98	мы видим что	1	1
99	как мы видели	2	1
100	мы уже знаем	1	1
101	но и ко	1	1
102	как мы знаем	1	1
103	и ко всем	1	1
104	тот или иной	1	1
