N	3gram	Vygotskiy__7	Dialekti
1	это значит что	1	21
2	с точки зрения	21	14
3	тем не менее	3	10
4	не только не	9	7
5	что иное как	1	6
6	не может быть	4	6
7	не что иное	1	6
8	в самом деле	4	5
9	сам по себе	1	5
10	есть то что	1	5
11	само по себе	1	5
12	о том что	4	5
13	подобно тому как	1	4
14	то время как	2	4
15	в то время	2	4
16	сама по себе	1	4
17	что она есть	1	3
18	как раз и	1	3
19	того что он	1	3
20	с одной стороны	5	3
21	в том что	13	3
22	есть не что	1	3
23	то что мы	1	3
24	как и в	3	3
25	на то что	4	3
26	только тогда когда	1	3
27	потому что его	1	2
28	в силу этого	1	2
29	тем что оно	2	2
30	не только о	1	2
31	но то что	2	2
32	из того что	2	2
33	точно так же	2	2
34	в одинаковой мере	1	2
35	с этой точки	4	2
36	в зависимости от	1	2
37	одно и то	3	2
38	так же как	7	2
39	есть в сущности	1	2
40	и то же	3	2
41	и в этом	1	2
42	не могут быть	1	2
43	того что она	1	2
44	с другой стороны	1	2
45	во всяком случае	1	2
46	этой точки зрения	4	2
47	только на то	1	2
48	мы не можем	3	2
49	это и есть	1	2
50	той или иной	1	2
51	к тому что	6	2
52	том что в	2	1
53	такой же мере	3	1
54	и есть то	1	1
55	а следовательно и	1	1
56	бытия и небытия	1	1
57	с фактами как	1	1
58	тому что она	1	1
59	потому что в	1	1
60	и во всяком	1	1
61	и той же	2	1
62	указывает только на	1	1
63	имеет место в	1	1
64	я не хочу	1	1
65	на самом деле	2	1
66	самом деле если	1	1
67	так что в	1	1
68	внимание на то	1	1
69	то же самое	5	1
70	одной стороны и	3	1
71	то что с	1	1
72	же как и	2	1
73	то что является	1	1
74	следовательно и в	1	1
75	что с точки	1	1
76	до сих пор	3	1
77	и не может	1	1
78	в лучшем случае	2	1
79	друг на друга	1	1
80	и одно из	1	1
81	чем иным как	2	1
82	в этом отношении	3	1
83	того и другого	2	1
84	это привело нас	2	1
85	и во всех	1	1
86	для себя и	2	1
87	она конечно не	1	1
88	только потому что	3	1
89	как только мы	1	1
90	в последнее время	2	1
91	даже если бы	1	1
92	что мы не	1	1
93	и что в	1	1
94	не чем иным	2	1
95	самое что и	1	1
96	в данном случае	5	1
97	привело нас к	2	1
98	если бы мы	1	1
99	на каждой ступени	1	1
100	у нее нет	2	1
101	тот факт что	1	1
102	не содержит в	1	1
103	не могут не	2	1
104	и следовательно не	1	1
105	то тем самым	1	1
106	он может и	1	1
107	но только не	1	1
108	в такой же	3	1
109	тогда я не	1	1
110	в этот вопрос	1	1
111	существует не только	1	1
112	из отдельных частей	1	1
113	содержит в себе	3	1
114	и таким образом	1	1
115	в учении о	6	1
116	говорить ни о	1	1
117	заключается только в	1	1
118	и не развивается	1	1
119	точки зрения самого	2	1
120	что у него	1	1
121	в конечном счете	2	1
122	в этом заключается	1	1
123	в то же	1	1
124	со всеми ее	1	1
125	из этих двух	1	1
126	одной и той	2	1
127	показывает что в	1	1
128	говорить не только	1	1
129	случае не может	1	1
130	во всем его	1	1
131	обратил внимание на	1	1
132	что и в	1	1
133	том что если	1	1
134	и вопрос о	1	1
