N	3gram	Propp_Russ_2	Otkroven
1	для того чтобы	6	3
2	и в этом	1	2
3	не может быть	3	2
4	но и в	1	2
5	смысле этого слова	1	1
6	в другом месте	1	1
7	как например в	1	1
8	чем в других	1	1
9	потому что в	1	1
10	том что в	1	1
11	и в том	1	1
12	о том как	1	1
13	бросается в глаза	2	1
14	может быть назван	1	1
15	во всяком случае	1	1
16	человека а не	1	1
17	говорится что она	1	1
18	и остаются на	1	1
19	после того как	2	1
20	о том что	4	1
21	в этом отношении	1	1
22	то что в	1	1
23	и все это	1	1
24	в том что	18	1
25	а иногда и	1	1
26	на то что	1	1
27	как и в	1	1
