N	2gram	Ircho_Kome_3	Otkroven
1	у него	4	22
2	и в	22	19
3	но и	4	13
4	и не	21	13
5	в этом	8	12
6	человека в	2	11
7	не в	4	11
8	не только	5	11
9	может быть	6	11
10	а не	4	11
11	человека и	2	10
12	вопрос о	1	10
13	в нем	3	10
14	и все	2	10
15	прежде всего	5	9
16	к человеку	2	9
17	не было	2	9
18	никогда не	3	9
19	потому что	10	9
20	он был	4	8
21	и он	2	8
22	в его	8	7
23	человек не	1	7
24	он не	5	7
25	до конца	4	7
26	нет ничего	2	7
27	но он	1	7
28	как и	3	6
29	все это	5	6
30	отношение к	5	5
31	в том	12	5
32	в самом	9	5
33	в этой	3	5
34	о его	2	5
35	а в	7	5
36	то что	4	5
37	человеку и	1	5
38	он сам	1	4
39	с его	3	4
40	все эти	1	4
41	на земле	1	4
42	что не	3	4
43	не может	3	4
44	т е	16	4
45	того чтобы	6	4
46	человек и	1	4
47	и мысли	3	4
48	и его	6	4
49	что в	5	4
50	о том	8	3
51	еще не	6	3
52	к нему	5	3
53	было бы	3	3
54	когда он	4	3
55	что он	8	3
56	и ее	2	3
57	в себе	4	3
58	не могут	2	3
59	для того	6	3
60	это было	1	3
61	что человек	1	3
62	это не	2	3
63	чем на	1	3
64	могут быть	1	3
65	как бы	3	3
66	с ним	5	3
67	и от	1	3
68	в этих	1	3
69	хотя бы	4	3
70	в своих	2	3
71	все что	3	3
72	и с	4	2
73	о любви	2	2
74	в ее	3	2
75	что у	1	2
76	так и	4	2
77	его не	2	2
78	и о	2	2
79	и на	2	2
80	и все-таки	1	2
81	что и	8	2
82	что они	2	2
83	в истории	1	2
84	как к	1	2
85	в своем	8	2
86	все же	4	2
87	сразу же	4	2
88	и к	3	2
89	в этот	1	2
90	и потому	1	2
91	должен был	4	2
92	и этим	3	2
93	в которой	3	2
94	так что	6	2
95	уже в	2	2
96	в душе	1	2
97	о которой	2	2
98	что для	2	2
99	одно из	1	2
100	которую он	2	2
101	так как	11	2
102	и никогда	1	2
103	тем что	5	2
104	в других	3	2
105	в другом	2	2
106	его в	8	2
107	человека а	1	2
108	что любовь	1	2
109	сказать что	1	2
110	с тем	4	2
111	чем в	3	2
112	для человека	1	2
113	том что	13	2
114	ко всем	1	2
115	для всякого	1	2
116	к этому	6	2
117	и там	1	2
118	с которой	1	2
119	не имеет	3	2
120	любовь к	3	2
121	и для	4	2
122	самое главное	1	2
123	ничего не	3	2
124	к ней	8	2
125	и любовь	2	2
126	жизни в	1	2
127	в своей	5	2
128	что все	1	2
129	всего в	1	2
130	к этой	2	2
131	хотя и	5	2
132	все еще	2	2
133	но в	5	2
134	бог и	1	1
135	и это	2	1
136	человеческой природой	1	1
137	отношения к	2	1
138	например в	1	1
139	и открывает	1	1
140	был для	1	1
141	чтобы не	1	1
142	в виду	2	1
143	этой стихии	1	1
144	приносит нам	1	1
145	было сделать	1	1
146	тем же	3	1
147	нет никакой	1	1
148	к другому	1	1
149	и до	1	1
150	и противоречия	1	1
151	в силе	1	1
152	видеть в	1	1
153	и когда	1	1
154	гуманизм и	1	1
155	можно было	2	1
156	из всех	2	1
157	уверенность что	1	1
158	не с	2	1
159	собой в	1	1
160	из которой	2	1
161	которая была	1	1
162	он знает	4	1
163	мы не	2	1
164	вот о	1	1
165	преступления и	1	1
166	том как	3	1
167	уверен что	1	1
168	представляется мне	1	1
169	по сравнению	2	1
170	несколько в	1	1
171	если бы	8	1
172	в эпоху	2	1
173	с утра	1	1
174	из начал	1	1
175	в сущности	2	1
176	богатого и	1	1
177	это я	1	1
178	в ней	4	1
179	было до	1	1
180	ты можешь	1	1
181	и что	6	1
182	в глаза	3	1
183	его жизни	1	1
184	после того	1	1
185	все его	1	1
186	из образов	1	1
187	любви к	5	1
188	там и	1	1
189	каждом из	1	1
190	одним словом	1	1
191	утра до	1	1
192	самом деле	6	1
193	но ничего	1	1
194	которого не	1	1
195	но не	1	1
196	из сторон	1	1
197	которых в	1	1
198	с какими	1	1
199	и всякий	1	1
200	сравнению с	2	1
201	в новом	1	1
202	но нет	1	1
203	нуждается в	2	1
204	себе и	1	1
205	все время	2	1
206	и я	2	1
207	которой в	1	1
208	в одной	1	1
209	как в	2	1
210	по содержанию	1	1
211	в частности	3	1
212	один из	3	1
213	на человека	1	1
214	еще больше	3	1
215	мысли не	1	1
216	поле битвы	1	1
217	к удовлетворению	1	1
218	и как	1	1
219	ли он	1	1
220	самом начале	1	1
221	от этого	1	1
222	трагедии и	2	1
223	то в	1	1
224	и после	2	1
225	который в	3	1
226	их жизни	1	1
227	и раньше	1	1
228	не хочет	5	1
229	из жизни	1	1
230	представляет собой	3	1
231	и идеологических	1	1
232	за это	1	1
233	его а	2	1
234	со всеми	1	1
235	в эти	1	1
236	к которой	1	1
237	человека с	1	1
238	тебе была	1	1
239	только один	2	1
240	говорят о	1	1
241	на то	3	1
242	что она	4	1
243	больше всего	1	1
244	после которого	1	1
245	сказать в	1	1
246	и других	1	1
247	да и	1	1
248	из них	5	1
249	после этого	2	1
250	его и	1	1
251	от которого	1	1
252	к каким	1	1
253	страшная и	1	1
254	был бы	2	1
255	в судьбе	1	1
256	он должен	1	1
257	к одному	1	1
258	человека не	2	1
259	в силу	2	1
260	в одном	2	1
261	вовсе не	4	1
262	и сам	5	1
263	вот с	1	1
264	людей и	2	1
265	этом отношении	2	1
266	вещей и	1	1
267	от того	2	1
268	в каждом	1	1
269	же не	1	1
270	и даже	3	1
271	со стороны	11	1
272	подходит к	1	1
273	в глазах	8	1
274	а именно	1	1
275	с той	1	1
276	всего творчества	1	1
277	в свой	1	1
278	действующих лиц	1	1
279	было и	1	1
280	приходит в	1	1
281	главное в	1	1
282	к счастью	1	1
283	в это	1	1
284	говорит о	1	1
285	он больше	1	1
286	в них	3	1
287	а с	1	1
288	был в	1	1
289	на этот	3	1
290	у его	1	1
291	и переживает	1	1
292	человек в	1	1
293	о чем	7	1
294	бога и	1	1
295	в мире	2	1
296	над его	2	1
297	нисколько не	3	1
298	посвящения в	1	1
299	под влиянием	2	1
300	он и	2	1
301	и ему	1	1
302	тобой а	1	1
303	его образ	1	1
304	не так	3	1
305	места в	1	1
306	и без	2	1
307	как это	5	1
308	в котором	2	1
309	и почему	1	1
310	человеком и	1	1
311	ничего нет	1	1
312	этом огромном	1	1
313	слишком много	1	1
314	он говорит	2	1
315	любовь и	1	1
316	одном из	1	1
317	связывали с	1	1
318	говорит с	1	1
319	над ними	1	1
320	в мир	1	1
321	всяком случае	3	1
322	с тобой	1	1
323	видно что	2	1
324	в конце	7	1
325	друг с	1	1
326	которым он	2	1
327	быть не	1	1
328	разговор с	1	1
329	лет назад	2	1
330	в отношении	4	1
331	и отец	2	1
332	и здесь	4	1
333	на своем	1	1
334	она не	2	1
335	того как	1	1
336	ближе к	2	1
337	она должна	1	1
338	отрицательного отношения	1	1
339	не по	7	1
340	он еще	1	1
341	не случайно	1	1
342	ты хочешь	1	1
343	а что	1	1
344	человека от	1	1
345	которого они	1	1
346	в отношениях	2	1
347	может служить	1	1
348	к одной	2	1
349	и весь	1	1
350	что их	2	1
351	и лишь	1	1
352	но еще	1	1
353	бы в	4	1
354	до вечера	1	1
355	и женщины	1	1
356	по своей	1	1
357	ни к	1	1
358	во всем	1	1
359	вот что	1	1
360	в сознании	1	1
361	не допускает	1	1
362	отношении к	1	1
363	ты не	1	1
364	с другом	1	1
365	перед ним	3	1
366	и эта	1	1
367	много было	1	1
368	была бы	1	1
369	свое собственное	1	1
370	совершенно не	2	1
371	не одно	1	1
372	к его	1	1
373	для нашего	1	1
374	жизни а	1	1
375	не стал	1	1
376	я уверен	1	1
377	ставит в	1	1
378	чтобы сделать	1	1
379	в свое	2	1
380	особенно в	1	1
381	чтобы человек	1	1
382	ii в	2	1
383	в голову	1	1
384	жизни и	1	1
385	бы он	3	1
386	во всяком	3	1
387	указывает на	1	1
388	к любви	1	1
389	быть назван	1	1
