N	2gram	Bakhtin_fo_2	RusskieA
1	и в	46	29
2	том что	4	22
3	в том	10	22
4	что в	5	22
5	как бы	10	18
6	и другие	3	14
7	так как	6	13
8	может быть	7	13
9	в землю	1	13
10	во время	10	12
11	там же	1	12
12	п в	1	12
13	в этом	22	11
14	как и	8	11
15	одна из	1	11
16	в этот	3	10
17	не только	11	10
18	и с	6	10
19	все это	6	10
20	в воду	1	9
21	а на	2	9
22	о том	4	9
23	в некоторых	2	9
24	а в	3	9
25	его в	6	8
26	но и	9	8
27	ее в	3	8
28	как в	4	7
29	данном случае	1	7
30	мы видели	2	7
31	в день	2	7
32	мы имеем	2	6
33	мы не	1	6
34	еще не	6	6
35	и на	7	6
36	при этом	6	6
37	таким образом	3	6
38	того чтобы	8	6
39	для того	8	6
40	с тем	2	6
41	вместе с	9	6
42	в данном	2	6
43	этом случае	2	6
44	же в	4	6
45	и т	14	5
46	но не	5	5
47	следующим образом	1	5
48	но в	10	5
49	на земле	2	5
50	это не	2	5
51	т д	3	5
52	не может	2	5
53	представление о	2	5
54	к вам	1	5
55	потому что	8	5
56	и что	1	5
57	то что	7	5
58	к этому	3	5
59	то же	8	4
60	вопрос о	1	4
61	что по	1	4
62	в фольклоре	2	4
63	уже не	3	4
64	их в	4	4
65	том же	4	4
66	а затем	3	4
67	в них	7	4
68	далеко не	2	4
69	а за	1	4
70	в которых	3	4
71	не в	9	4
72	у нас	2	4
73	а также	3	4
74	так что	4	4
75	то и	1	4
76	в виде	1	4
77	из них	8	4
78	именно в	2	4
79	а не	4	4
80	о чем	3	4
81	так же	2	4
82	как это	2	4
83	этих случаях	1	4
84	по существу	5	4
85	и все	6	4
86	в таком	1	4
87	и о	2	3
88	в народном	1	3
89	в ее	1	3
90	все эти	5	3
91	в этой	2	3
92	по всем	2	3
93	и по	3	3
94	на этом	2	3
95	и других	2	3
96	должен был	1	3
97	на первый	3	3
98	в этих	3	3
99	в котором	4	3
100	в отличие	1	3
101	но он	2	3
102	она не	2	3
103	в таких	1	3
104	и смех	3	3
105	не имеет	1	3
106	на землю	2	3
107	как мы	6	3
108	что от	1	3
109	во всех	11	3
110	того что	3	3
111	что здесь	2	3
112	между тем	1	3
113	в качестве	3	3
114	руки и	1	3
115	отличие от	1	3
116	тем что	3	3
117	в природе	1	3
118	до конца	2	3
119	или с	1	3
