N	2gram	Berdyaev_V_1	Problemy
1	и в	16	46
2	то есть	1	40
3	и не	20	27
4	может быть	1	23
5	как бы	5	19
6	в нем	4	17
7	в этом	4	16
8	не только	2	14
9	как мы	1	12
10	но и	5	12
11	как и	4	12
12	и на	1	11
13	в одном	1	11
14	а не	7	11
15	не в	3	10
16	в самом	1	9
17	и все	4	9
18	в его	4	9
19	в том	3	9
20	вовсе не	1	9
21	прежде всего	2	9
22	конечно не	2	8
23	свой предмет	1	7
24	еще не	8	7
25	и с	1	7
26	слова с	1	7
27	то же	1	6
28	никогда не	3	6
29	хотя и	5	6
30	но в	3	6
31	ни в	3	6
32	что я	3	6
33	но это	3	6
34	что он	4	6
35	только в	2	6
36	все это	5	6
37	мы увидим	1	6
38	в котором	4	5
39	с его	3	5
40	во всех	3	5
41	это не	2	5
42	в жизни	3	5
43	это слово	1	5
44	и сам	2	5
45	к нему	1	5
46	так как	9	5
47	у него	1	5
48	жизни и	3	5
49	в их	1	4
50	мы не	2	4
51	на себя	5	4
52	но не	2	4
53	как в	1	4
54	все же	1	4
55	все эти	3	4
56	людей и	2	4
57	мы слышим	2	4
58	том что	2	4
59	в этих	3	4
60	любовь к	3	4
61	раз и	1	4
62	в процессе	1	4
63	во всем	1	4
64	потому что	4	4
65	в себя	2	4
66	так и	4	4
67	в словах	1	4
68	в виду	1	4
69	же и	1	4
70	уже не	2	4
71	уже в	1	4
72	к ним	1	4
73	еще и	1	4
74	превращается в	3	4
75	да и	2	4
76	должно быть	3	4
77	и нет	1	4
78	то что	9	4
79	что в	3	4
80	человека и	6	3
81	и это	2	3
82	и до	1	3
83	мы и	2	3
84	то это	3	3
85	отношение к	1	3
86	себе и	1	3
87	в своем	1	3
88	в этой	1	3
89	не к	2	3
90	их в	3	3
91	на этом	1	3
92	в мире	5	3
93	в своей	3	3
94	она не	1	3
95	на два	1	3
96	на него	1	3
97	не могут	2	3
98	нам уже	1	3
99	чем у	1	3
100	и что	3	3
101	и во	2	3
102	в конце	3	3
103	что и	3	3
104	бытия и	1	3
105	тем что	2	3
106	с другой	1	3
107	себя и	1	3
108	жизнь в	1	3
109	него в	1	3
110	так же	1	3
111	и для	3	3
112	бы в	1	3
113	другой стороны	1	3
114	и идеи	1	3
115	и другие	1	3
116	а между	2	2
117	вопрос о	1	2
118	не была	1	2
119	мы будем	1	2
120	если в	1	2
