N	3gram	Tiupa_Disk_2	StatiiOP
1	в том что	6	16
2	о том что	3	11
3	в этом отношении	4	9
4	дело в том	2	4
5	в одном из	1	3
6	с другой стороны	1	3
7	во всяком случае	1	3
8	с самого начала	1	3
9	речь идет о	1	3
10	в другом месте	1	2
11	том что в	1	2
12	в сочетании с	2	2
13	говорит об этом	1	2
14	с точки зрения	2	2
15	в отличие от	12	2
16	бы то ни	1	2
17	то что в	1	2
18	но и здесь	1	2
19	в это время	1	2
20	в значительной степени	1	2
21	то ни было	1	2
22	не столько в	1	2
23	не в том	1	2
24	мере в какой	1	2
25	так и в	3	2
26	в самом деле	1	2
27	той мере в	1	2
28	тем не менее	1	2
29	в той мере	1	2
30	в обоих случаях	2	1
31	только таким путем	1	1
32	в году как	1	1
33	не говоря уже	1	1
34	на пути от	1	1
35	истории русской поэзии	1	1
36	что же касается	2	1
37	в первую очередь	2	1
38	и именно в	1	1
39	при этом и	1	1
40	говоря уже о	1	1
41	именно в этом	1	1
42	одно и то	2	1
43	в данном случае	6	1
44	и то же	2	1
45	в этом жанре	1	1
46	по большей части	2	1
47	к одному из	1	1
48	так и на	2	1
49	с другой в	1	1
50	в свое время	2	1
51	по отношению к	4	1
52	то же время	5	1
53	мысль о возможности	1	1
54	но также и	1	1
55	в этом случае	2	1
56	вольному воля а	1	1
57	в то же	4	1
58	в том числе	1	1
59	это еще не	2	1
60	гораздо проще чем	1	1
61	до нас не	1	1
