N	3gram	Berdyaev_M_2	Marksizm
1	с точки зрения	1	13
2	не может быть	8	10
3	по отношению к	2	8
4	для того чтобы	4	6
5	в том что	2	6
6	может быть и	2	5
7	смысле этого слова	1	4
8	в отношении к	2	4
9	на самом деле	1	4
10	той или иной	1	4
11	до сих пор	3	3
12	в высшей степени	3	3
13	о том что	2	3
14	к тому что	3	3
15	а не в	2	2
16	том что он	1	2
17	а не к	1	2
18	но и в	1	2
19	в значительной степени	1	2
20	лежит в основе	1	2
21	у нас не	2	2
22	хотя бы в	1	2
23	в нем нет	2	2
24	на то что	1	2
25	только в этом	1	2
26	добро и зло	2	1
27	слова для него	1	1
28	для него не	1	1
29	что иное как	3	1
30	а следовательно и	1	1
31	атмосфера в которой	1	1
32	не проникает в	1	1
33	обычном смысле слова	1	1
34	том что это	1	1
35	в нем и	1	1
36	не находит себе	1	1
37	для себя и	1	1
38	сам по себе	1	1
39	и землю и	1	1
40	а может быть	1	1
41	в этом отношении	1	1
42	но он не	1	1
43	всего xix века	1	1
44	не сам по	1	1
45	мужчины и женщины	4	1
46	у него нет	3	1
47	и тогда когда	1	1
48	достоевский в дневнике	1	1
49	так же не	1	1
50	в обычном смысле	1	1
51	по сравнению с	1	1
52	в этом направлении	1	1
53	и в основе	1	1
54	это не есть	1	1
55	хотя и в	1	1
56	нас не было	2	1
57	что же такое	1	1
58	как бы не	1	1
59	во всех своих	1	1
60	что это –	1	1
61	не что иное	3	1
62	не было в	1	1
63	в дневнике писателя	2	1
64	может быть лишь	2	1
65	есть прежде всего	5	1
66	что вопрос о	1	1
67	но также и	1	1
68	как и в	2	1
69	они не имеют	1	1
70	оно прежде всего	1	1
