1	с точки зрения	3	5
2	не может быть	1	4
3	так как он	1	2
4	друг с другом	1	2
5	в отличие от	4	2
6	во всяком случае	1	2
7	в настоящее время	1	2
8	в начале нашего	1	1
9	на две клетки	1	1
10	до наших дней	1	1
11	в заключение нужно	1	1
12	в дальнейшем мы	1	1
13	мы видим что	1	1
14	до сих пор	4	1
15	подлежит никакому сомнению	1	1
16	дело в том	2	1
17	и не может	1	1
18	случае не подлежит	1	1
19	и до сих	1	1
20	все более и	1	1
21	в том что	6	1
22	в то же	1	1
23	и по его	1	1
24	всяком случае не	1	1
25	той или иной	5	1
26	самом деле все	1	1
27	не могут быть	1	1
28	на этой стадии	1	1
29	в известном смысле	1	1
30	с одной стороны	2	1
31	на самом деле	2	1
32	то же время	1	1
33	и в новое	1	1
34	на этот вопрос	2	1
35	в самом деле	1	1
36	еще раз подчеркнуть	1	1
37	и прежде всего	3	1
38	можно наблюдать на	1	1
39	но все же	2	1
40	это как бы	1	1
41	поэтому в дальнейшем	1	1
42	раз подчеркнуть что	1	1
43	свобода по отношению	1	1
44	в связи с	1	1
45	более и более	1	1
46	и пр но	1	1
47	сами по себе	1	1
48	прежде всего необходимо	1	1
49	стадии своего развития	1	1
50	может быть только	1	1
51	и еще более	1	1
52	в новое время	3	1
53	и может быть	1	1
54	все эти три	1	1
55	и ничего не	1	1
56	в свое время	2	1
57	не подлежит никакому	1	1
58	по отношению к	1	1
59	что при таком	1	1
