N	3gram	Tiupa_Lite_3	NovoeSre
1	xix и xx	1	4
2	не может быть	3	4
3	подобно тому как	2	3
4	вместе с тем	1	2
5	с одной стороны	4	2
6	с другой стороны	2	2
7	вопрос о том	1	2
8	по существу своему	1	1
9	в том числе	3	1
10	в зависимость от	1	1
11	потому что не	2	1
12	в отличие от	5	1
13	но и в	2	1
14	тому как в	1	1
15	том числе и	2	1
16	в то что	2	1
17	не знает что	1	1
18	может быть только	1	1
19	во внешнюю жизнь	1	1
20	в том чтобы	2	1
21	не только в	2	1
22	как будто бы	1	1
23	я не могу	1	1
24	о том что	4	1
25	то что в	1	1
26	в значительной степени	1	1
27	и вместе с	2	1
28	это и есть	1	1
29	в этой системе	1	1
30	быть не может	1	1
31	в том что	4	1
