N	2gram	Propp_Isto_6	VelikijI
1	и не	10	20
2	и в	26	16
3	так как	18	9
4	то что	6	9
5	еще не	9	8
6	в истории	1	8
7	что они	2	7
8	на земле	4	7
9	а не	2	7
10	не есть	2	6
11	но и	9	5
12	того что	2	5
13	хотя и	1	5
14	в мире	1	5
15	бога и	1	5
16	все это	1	5
17	что есть	1	5
18	как бы	4	5
19	ты не	1	5
20	и есть	1	4
21	в образе	10	4
22	в его	5	4
23	нет у	1	4
24	в этом	12	4
25	что он	9	4
26	потому что	13	4
27	земного и	1	4
28	в нем	8	4
29	так и	5	4
30	что все	1	4
31	что не	2	4
32	с богом	1	4
33	как и	5	4
34	что мы	2	4
35	в котором	1	4
36	в ней	5	4
37	это еще	3	4
38	они будут	1	4
39	все что	4	4
40	от этого	3	3
41	этого мира	1	3
42	и что	5	3
43	должна быть	3	3
44	людей он	1	3
45	нас и	1	3
46	то это	5	3
47	с его	4	3
48	во всех	1	3
49	что и	4	3
50	в том	12	3
51	но в	7	3
52	по этому	1	3
53	все эти	8	3
54	и они	2	3
55	от которого	1	3
56	их в	3	3
57	тех которые	2	3
58	в своей	3	3
59	в жизни	1	3
60	ни в	2	3
61	в них	3	3
62	не было	3	3
63	в этих	2	3
64	что я	1	3
65	не в	3	3
66	тому что	1	3
67	этих трех	1	3
68	но это	4	3
69	не имеет	2	3
70	никогда не	13	3
71	превращается в	7	3
72	и для	1	3
73	к тому	2	3
74	жизни и	2	3
75	что в	12	3
76	оно не	1	3
77	и это	8	2
78	того чтобы	1	2
79	и то	3	2
80	не имел	1	2
81	любовь не	1	2
82	но мы	2	2
83	это мы	2	2
84	и сам	2	2
85	и т	10	2
86	можно было	2	2
87	его не	2	2
88	превратились в	1	2
89	мы не	6	2
90	когда в	2	2
91	что от	1	2
92	и новые	1	2
93	в последнем	2	2
94	с ним	8	2
95	под этим	1	2
96	ее и	1	2
97	так для	1	2
98	между тем	1	2
99	высокие горы	1	2
100	которые не	1	2
101	не с	1	2
102	его к	1	2
103	только в	5	2
104	те которые	1	2
105	уже не	7	2
106	не только	10	2
107	чтобы овладеть	1	2
108	его и	1	2
109	не так	2	2
110	для него	1	2
111	земли и	2	2
112	для людей	1	2
113	и никогда	1	2
114	вот почему	3	2
115	тем что	5	2
116	на том	8	2
117	не будет	5	2
118	это не	4	2
119	все царства	1	2
120	т д	8	2
121	а с	2	2
122	прежде всего	4	2
123	люди не	1	2
124	с тем	4	2
125	один из	3	2
126	когда я	1	2
127	более чем	1	2
128	не могут	1	2
129	а есть	1	2
130	самого себя	2	2
131	одна из	2	2
132	том что	10	2
133	для нас	2	2
134	от него	3	2
135	в форме	2	2
136	ее в	6	2
137	есть уже	1	2
138	людей и	2	2
139	давно уже	1	2
140	не создает	1	2
141	а в	3	2
142	но не	2	2
143	могут быть	3	2
144	во всяком	2	2
145	небо это	1	1
146	речь идет	1	1
147	как мы	4	1
148	о государстве	1	1
149	в ее	1	1
150	на вершине	1	1
151	небом и	1	1
152	и до	2	1
153	том свете	4	1
154	не имеют	1	1
155	его связь	1	1
156	если они	3	1
157	то же	5	1
158	тысячи лет	1	1
159	живет в	2	1
160	всех частей	1	1
161	нам уже	1	1
162	это только	1	1
163	вопрос о	3	1
164	превратившись в	1	1
165	находится в	1	1
166	и ее	3	1
167	живет дух	1	1
168	нас но	1	1
169	же что	1	1
170	зависимости от	2	1
171	кто же	1	1
172	меня в	3	1
173	и на	12	1
174	он был	2	1
175	после того	2	1
176	теперь и	1	1
177	природы и	1	1
178	и царство	1	1
179	что оно	4	1
180	к нему	1	1
181	ее к	3	1
182	но как	4	1
183	от них	1	1
184	с которыми	1	1
185	тогда как	2	1
186	такой силой	1	1
187	бы в	1	1
188	не просто	1	1
189	мире и	1	1
190	и можно	1	1
191	ты дал	1	1
192	сложное и	1	1
193	как в	6	1
194	и сделалась	1	1
195	оторванное от	1	1
196	пути в	1	1
197	в своем	2	1
198	я был	1	1
199	все же	8	1
200	есть что-то	1	1
201	но с	1	1
202	идет по	1	1
203	мы видим	5	1
204	с ними	2	1
205	царства и	4	1
206	ли он	1	1
207	и хотя	2	1
208	все новые	1	1
209	духа в	1	1
210	у них	4	1
211	яснее в	1	1
212	что это	2	1
213	бы ни	1	1
214	в целом	1	1
215	их не	1	1
216	в этой	2	1
217	же и	1	1
218	им в	1	1
219	вот в	1	1
220	и современная	1	1
221	его совесть	1	1
222	уже в	1	1
223	то и	2	1
224	под землей	4	1
225	в виде	6	1
226	и если	1	1
227	часто он	1	1
228	или даже	1	1
229	и царства	1	1
230	не будут	2	1
231	искать в	1	1
232	жил и	1	1
233	и вот	3	1
234	и должна	1	1
235	вовсе не	2	1
236	отношение к	1	1
237	так часто	2	1
238	но что	1	1
239	у него	7	1
240	не случайно	1	1
241	этом мире	1	1
242	того света	1	1
243	и по	4	1
244	на этом	1	1
245	в руки	2	1
246	он так	1	1
247	и вместе	1	1
248	ее на	2	1
249	человека в	2	1
250	для того	1	1
251	этом нет	1	1
252	и с	6	1
253	с другой	10	1
254	которого не	1	1
255	есть не	1	1
256	близок к	2	1
257	еще и	1	1
258	с небом	1	1
259	бога по	1	1
260	и тем	4	1
261	она и	1	1
262	на которых	1	1
263	их было	1	1
264	идея эта	1	1
265	не всегда	4	1
266	от труда	1	1
267	о чем	2	1
268	и вновь	1	1
269	их на	1	1
270	в одно	2	1
271	только мы	1	1
272	него в	2	1
273	таким же	3	1
274	вместе с	8	1
275	так же	2	1
276	их сознания	1	1
277	как это	5	1
278	за которым	1	1
279	то есть	1	1
280	в лице	2	1
281	является и	3	1
282	еще с	1	1
283	их к	1	1
284	над ним	1	1
285	у нас	5	1
286	в которых	2	1
287	он говорит	1	1
288	если оно	1	1
289	с такой	1	1
290	что тот	1	1
291	в одном	3	1
292	а потом	2	1
293	в мир	1	1
294	есть еще	2	1
295	это значит	1	1
296	этого слова	1	1
297	с этой	2	1
298	от источника	1	1
299	только свое	1	1
300	и очень	1	1
301	и нет	1	1
302	можно ли	1	1
303	людей а	2	1
304	и сказал	1	1
305	к ним	1	1
306	и другое	2	1
307	думают что	1	1
308	неба и	1	1
309	на котором	3	1
310	указать на	1	1
311	но она	1	1
312	не существует	1	1
313	и от	3	1
314	ее но	1	1
315	нам могут	1	1
316	мира и	2	1
317	он за	1	1
318	ничего не	2	1
319	того как	3	1
320	может быть	11	1
321	пути и	1	1
322	как она	1	1
323	будто бы	1	1
324	государство в	1	1
325	на него	2	1
326	но вот	2	1
327	он превращается	1	1
328	полетел в	1	1
329	уже и	1	1
330	связь с	11	1
331	что на	1	1
332	человека что	1	1
333	может и	1	1
334	хотели бы	1	1
335	о своем	1	1
336	другой стороны	8	1
337	но все	2	1
338	есть и	4	1
339	и могли	1	1
340	к этому	3	1
341	его с	3	1
342	и другие	3	1
343	в своих	3	1
344	а того	1	1
345	и эта	3	1
346	это в	1	1
347	в противоположность	1	1
348	она не	3	1
349	они не	3	1
