N	2gram	Losev_Prob_3	TeoriaLi
1	не только	14	18
2	в качестве	3	17
3	и не	35	16
4	а в	5	14
5	и в	44	13
6	в частности	2	13
7	то есть	34	12
8	так и	10	12
9	может быть	28	12
10	в этом	17	11
11	при этом	4	11
12	в том	21	11
13	но не	3	10
14	и его	5	10
15	а не	18	10
16	то же	13	9
17	в его	9	9
18	такого рода	6	8
19	своего рода	1	8
20	произведение искусства	1	8
21	в душе	1	8
22	но и	10	8
23	что в	8	8
24	отличие от	3	7
25	в себе	8	7
26	том что	12	7
27	точки зрения	5	7
28	в отличие	2	7
29	в то	9	7
30	только в	19	7
31	себя в	2	7
32	как это	2	7
33	в данном	9	7
34	еще не	5	6
35	но в	12	6
36	в первой	1	6
37	лишь в	1	6
38	как бы	9	6
39	мы имеем	2	5
40	данном случае	7	5
41	в своем	5	5
42	в самом	3	5
43	он не	8	5
44	того или	6	5
45	как и	10	5
46	не в	13	5
47	однако в	2	5
48	тем самым	5	5
49	а а	1	5
50	в нем	9	5
51	в ее	4	5
52	в пределах	1	5
53	или иной	8	5
54	а также	4	5
55	уже не	7	5
56	с другой	7	5
57	как в	5	5
58	или иного	3	5
59	в искусстве	4	5
60	говорить о	3	4
61	а и	1	4
62	хотя и	5	4
63	по пути	1	4
64	то что	23	4
65	ни в	8	4
66	в слове	2	4
67	в своей	5	4
68	в их	2	4
69	или менее	1	4
70	не столько	2	4
71	не менее	10	4
72	в стихотворении	2	4
73	можно сказать	6	4
74	и ее	3	4
75	но он	1	4
76	сказать что	16	4
77	не может	7	4
78	более или	1	4
79	и то	14	3
80	например в	1	3
81	художественного произведения	14	3
82	я на	1	3
83	а только	5	3
84	в сторону	1	3
85	не все	1	3
86	в художественном	3	3
87	перед нами	8	3
88	и к	6	3
89	все эти	7	3
90	в нашем	5	3
91	в этой	3	3
92	и по	2	3
93	его в	3	3
94	мог бы	1	3
95	и сам	5	3
96	в этих	2	3
97	все прочие	1	3
98	тем не	10	3
99	в отношении	2	3
100	никогда не	6	3
101	как раз	8	3
102	потому что	25	3
103	той или	12	3
104	другой стороны	5	3
105	в другом	2	3
106	о ней	2	3
107	в порядке	3	3
108	и что	7	3
109	входит в	1	3
110	того что	8	3
111	а с	2	3
112	для него	3	3
113	слова в	1	3
114	с ее	2	3
115	именно в	2	3
116	прежде всего	3	3
117	и потому	7	3
118	по своему	2	3
119	этого слова	5	3
120	для возникновения	1	3
121	таким образом	9	3
122	или в	4	3
123	в основе	2	3
124	ни к	3	3
125	была бы	1	2
126	отношения к	3	2
