N	2gram	Bakhtin_Pr_1	KulturaY
1	и т	14	54
2	т п	13	41
3	точки зрения	8	23
4	и в	38	23
5	в том	8	22
6	не только	9	17
7	с точки	6	16
8	в этом	15	16
9	было бы	8	16
10	самом деле	6	14
11	в области	11	14
12	может быть	26	14
13	что в	7	13
14	в самом	7	13
15	не менее	4	12
16	для того	2	12
17	вопрос о	1	11
18	того чтобы	2	11
19	того что	2	11
20	в его	43	11
21	а не	5	11
22	можно было	4	11
23	том что	3	11
24	и не	42	10
25	можно говорить	2	10
26	у нас	2	10
27	еще не	7	9
28	прежде всего	13	9
29	таким образом	10	9
30	хотя бы	4	9
31	тем не	3	9
32	т д	1	8
33	лишь в	2	8
34	сих пор	1	8
35	до сих	1	8
36	уже не	1	8
37	в виду	4	8
38	если бы	3	8
39	все эти	5	7
40	как это	2	7
41	слова и	3	7
42	сказать что	4	7
43	должно быть	5	7
44	и что	2	7
45	в нашем	4	7
46	с другой	7	7
47	или иной	2	7
48	на фоне	3	7
49	в данном	4	7
50	не может	27	6
51	при этом	5	6
52	так и	5	6
53	связи с	2	6
54	с помощью	7	6
55	по себе	1	6
56	в их	10	6
57	с тем	1	6
58	говорить о	3	6
59	в общем	1	6
60	то же	5	6
61	только в	13	6
62	ничего не	6	6
63	и тем	3	6
64	могут быть	5	6
65	что и	2	6
66	языка в	3	6
67	о том	4	6
68	что он	2	6
69	все же	6	5
70	в связи	2	5
71	уже выше	1	5
72	вовсе не	2	5
73	и есть	2	5
74	не в	7	5
75	а в	6	5
76	независимо от	13	5
77	и должно	3	5
78	той или	2	5
79	совершенно не	7	5
80	хотя и	3	5
81	не могут	2	5
82	как и	7	5
83	как мы	7	5
84	в чем	2	5
85	тем что	2	5
86	в первом	1	5
87	далеко не	5	5
88	в поэзии	9	5
89	также и	3	5
90	я не	2	5
91	не будем	3	5
92	как бы	22	5
93	но это	3	5
94	для нас	1	4
95	данном случае	4	4
96	тех же	1	4
97	только как	6	4
98	в целом	3	4
99	мы говорим	1	4
100	не было	2	4
101	что не	4	4
102	же мы	1	4
103	к языку	1	4
104	языка как	2	4
105	тем самым	4	4
106	в своей	7	4
107	целый ряд	1	4
108	вопросом о	1	4
109	в ее	4	4
110	в таком	3	4
111	в нашей	2	4
112	между тем	7	4
113	которые в	1	4
114	в той	1	4
115	и о	5	4
116	ясно что	3	4
117	в слове	3	4
118	одной стороны	3	4
119	слова в	7	4
120	этого слова	1	4
121	с одной	3	4
122	тому что	1	4
123	то что	8	4
124	столь же	2	4
125	а также	1	4
126	п и	1	4
127	как в	4	4
128	точка зрения	3	4
129	в своем	5	4
130	и с	17	3
131	языка но	2	3
132	и вот	1	3
133	так называемого	1	3
134	и действительно	1	3
135	должна быть	4	3
136	то он	1	3
137	что это	2	3
138	в какой	2	3
139	вообще и	1	3
140	там где	6	3
141	зрения на	1	3
142	бы не	2	3
143	бы и	1	3
144	то в	1	3
145	но не	12	3
146	и только	4	3
147	в которых	1	3
148	время в	1	3
149	есть не	2	3
150	отношение к	10	3
151	а лишь	2	3
152	поэзия и	1	3
153	смысл слова	1	3
154	о содержании	1	3
155	но если	1	3
156	на самом	4	3
157	но как	2	3
158	это не	5	3
159	но и	9	3
160	и к	3	3
161	на него	3	3
162	не имеет	9	3
163	они не	3	3
164	это и	1	3
165	отнюдь не	19	3
166	в то	4	3
167	я в	1	3
168	говорить и	2	3
169	мы должны	2	3
170	она не	2	3
171	ни в	11	3
172	и содержание	3	3
173	вопроса о	3	3
174	как проблема	1	3
175	по поводу	2	3
176	может иметь	5	3
177	другой стороны	4	3
178	именно в	1	3
179	и именно	2	3
180	того или	2	3
181	к тому	1	3
182	в процессе	1	3
183	в результате	1	3
184	он не	3	3
185	по отношению	21	3
186	как о	1	3
187	смысл который	1	3
188	нас в	1	3
189	отметить что	7	3
190	по существу	2	3
191	или иного	2	3
192	всего этого	1	3
193	не лингвистическая	1	3
194	в ней	4	3
195	и пр	2	3
196	был бы	1	3
197	поэзии как	1	3
198	формы и	5	3
199	всего следует	1	3
200	это уже	1	3
201	слово в	2	3
202	этот вопрос	1	3
203	не есть	6	3
204	и более	2	3
205	но для	1	3
206	и содержания	3	2
207	до крайности	1	2
208	точек зрения	1	2
209	связи и	3	2
210	как слово	1	2
211	или иное	2	2
