N	3gram	Medvedev_U_1	Problema
1	в эстетический объект	1	12
2	не может быть	4	11
3	в художественном творчестве	2	9
4	и прежде всего	1	5
5	эстетического объекта в	1	5
6	не входит в	1	4
7	в данном случае	1	4
8	в художественном произведении	2	4
9	с другой стороны	3	4
10	эстетического объекта и	1	4
11	в конечном счете	4	4
12	в противном случае	2	3
13	в самом деле	2	3
14	в этом смысле	2	3
15	бы то ни	3	3
16	с одной стороны	1	3
17	то же время	3	3
18	в том что	2	3
19	в то же	3	3
20	художественное творчество и	1	3
21	можно сказать что	1	2
22	то же самое	2	2
23	на первый план	1	2
24	и в то	1	2
25	и в частности	2	2
26	то ни было	3	2
27	входит в эстетический	1	2
28	не только в	1	2
29	не могут быть	2	2
30	никогда не может	1	2
31	словесного художественного творчества	1	2
32	в этом отношении	2	2
33	эстетики словесного творчества	1	1
34	а между тем	2	1
35	художественное произведение как	1	1
36	должна быть эстетикой	1	1
37	содержания и формы	1	1
38	быть эстетикой словесного	1	1
39	все что угодно	1	1
40	в его эстетической	1	1
41	до сих пор	2	1
42	хотя бы и	2	1
43	не было бы	1	1
44	с тем что	1	1
45	на то что	1	1
46	художественного произведения как	1	1
47	конечно не в	1	1
48	в искусстве форма	1	1
49	но в то	1	1
50	в области словесного	1	1
51	которые могли бы	1	1
52	и в их	1	1
53	не в том	1	1
54	эстетикой словесного художественного	1	1
55	у нас в	1	1
56	и независимо от	1	1
57	все они в	1	1
58	нет и быть	1	1
59	равно как и	1	1
60	ориентация на материал	1	1
61	язык в его	1	1
62	не может обойтись	1	1
63	и быть не	1	1
64	может быть обоснована	2	1
65	но конечно не	1	1
66	и не ставит	1	1
67	быть не может	1	1
68	дело конечно не	1	1
69	что все они	1	1
