N	3gram	Voloshinov_1	Narrotol
1	в том что	1	8
2	о том что	2	6
3	не может быть	2	5
4	с другой стороны	1	4
5	той или иной	3	4
6	но все же	2	4
7	можно сказать что	2	4
8	в этом отношении	2	3
9	тем не менее	1	3
10	и тем самым	3	3
11	то же время	7	3
12	в свою очередь	4	3
13	в то же	9	3
14	что иное как	2	2
15	не может не	1	2
16	более или менее	1	2
17	не только о	1	2
18	с точки зрения	5	2
19	можно было бы	1	2
20	перед нами не	1	2
21	то или иное	4	2
22	ту или иную	3	2
23	в значительной степени	2	2
24	не что иное	2	2
25	не только в	3	2
26	на первый взгляд	1	2
27	в связи с	2	2
28	того или иного	5	2
29	с точкой зрения	1	2
30	в конечном счете	1	2
31	и того же	1	1
32	или хотя бы	2	1
33	только потому что	2	1
34	вовсе и не	1	1
35	в хх веке	1	1
36	в иной ситуации	1	1
37	прежде всего в	3	1
38	на самом деле	3	1
39	в самом деле	1	1
40	и в особенности	1	1
41	тем самым мы	1	1
42	ответ на него	1	1
43	то же самое	4	1
44	по крайней мере	1	1
45	это дает нам	1	1
46	точку зрения на	1	1
47	до сих пор	1	1
48	тот или иной	1	1
49	и в то	2	1
50	он почувствовал что	1	1
51	независимо от того	1	1
52	из них в	1	1
53	несмотря на свою	1	1
54	жизни однако в	1	1
55	до наших дней	1	1
56	мы не имеем	2	1
57	и ответ на	1	1
58	содержит в себе	1	1
59	дело не с	1	1
60	же самое происходит	1	1
61	и т.д в	1	1
62	точки зрения и	1	1
63	и не было	1	1
64	и при этом	1	1
65	и как бы	1	1
66	в этой ситуации	1	1
67	иметь в виду	1	1
68	в качестве одного	1	1
69	из которых он	1	1
70	так и от	1	1
71	один из этих	1	1
72	как мы увидим	2	1
73	самое происходит и	1	1
74	не только одним	1	1
75	одна из многочисленных	1	1
76	на ту или	1	1
77	все то что	2	1
78	по себе не	1	1
79	не смог бы	1	1
80	есть не что	2	1
81	само по себе	1	1
82	и тем более	1	1
83	может показаться что	2	1
84	мысль о том	1	1
85	в русской литературе	1	1
86	ни единого слова	1	1
87	одного и того	1	1
88	как мы уже	2	1
89	и т.д на	2	1
90	в силу которого	1	1
91	хотя бы одной	1	1
92	тех или иных	3	1
93	то есть к	1	1
94	внешний облик героя	1	1
95	как и в	1	1
96	является как бы	1	1
97	на наш взгляд	1	1
98	как мы видели	3	1
