N	3gram	Bakhtin_sl_1	Myshleni
1	в том что	1	17
2	для того чтобы	1	7
3	с помощью которых	1	7
4	в отличие от	1	6
5	с самого начала	1	6
6	в зависимости от	3	5
7	можно было бы	2	5
8	с одной стороны	4	5
9	тем не менее	1	5
10	друг с другом	2	5
11	ни в какой	1	4
12	то время как	2	4
13	во всяком случае	5	4
14	в то время	2	4
15	о том что	1	3
16	в этом отношении	1	3
17	один из этих	1	3
18	с другой стороны	4	3
19	слово входит в	1	3
20	как мы видели	1	3
21	этой точки зрения	1	2
22	и той же	1	2
23	и в отношении	1	2
24	и в этом	2	2
25	включает в себя	1	2
26	в известном смысле	2	2
27	не может быть	1	2
28	и во всяком	1	2
29	того или иного	2	2
30	с этой точки	1	2
31	так и в	3	2
32	в свою очередь	2	2
33	точки зрения на	3	2
34	той или иной	9	2
35	как мы уже	2	2
36	одной и той	1	2
37	как и в	1	2
38	и связанное с	1	1
39	как потому что	1	1
40	в виду не	1	1
41	более или менее	3	1
42	так или иначе	1	1
43	самого начала в	1	1
44	в этом случае	2	1
45	между собой в	1	1
46	с точки зрения	8	1
47	на один из	1	1
48	до сих пор	2	1
49	хотя бы и	3	1
50	за пределами своего	1	1
51	и в чисто	2	1
52	бы то ни	1	1
53	с ним в	1	1
54	во всех этих	1	1
55	к тому или	1	1
56	по аналогии с	1	1
57	до последнего времени	2	1
58	со всеми его	1	1
59	а как бы	1	1
60	в данном случае	3	1
61	не только в	2	1
62	то ни было	1	1
63	в них как	2	1
64	вообще не есть	1	1
65	мы не знаем	1	1
66	в один ряд	1	1
67	и все его	1	1
68	в значительной степени	1	1
69	и не могут	1	1
70	но и по	1	1
71	не могут быть	2	1
72	в какой степени	1	1
73	мы исходили из	1	1
74	перед нами в	1	1
75	еще на одной	1	1
76	и в том	2	1
77	в которых оно	1	1
78	и речи но	1	1
79	себе как бы	1	1
80	если бы мы	1	1
81	в котором в	1	1
82	с ними оно	1	1
83	выходит за пределы	3	1
84	не выходит за	3	1
85	в известной степени	2	1
86	которая не может	1	1
87	уже не на	1	1
88	совершенно иным путем	1	1
89	к тому что	2	1
90	между словом и	1	1
91	в последнем счете	1	1
