N	2gram	Losev_Vesc_1	Problema
1	и не	29	28
2	не только	36	24
3	только в	14	23
4	в виде	1	22
5	вовсе не	10	21
6	и в	21	20
7	в том	8	20
8	ни в	1	17
9	не просто	19	16
10	все эти	3	16
11	то что	27	15
12	потому что	16	15
13	точки зрения	5	14
14	у нас	7	14
15	той или	2	14
16	было бы	14	14
17	но и	18	14
18	также и	6	13
19	перед нами	2	13
20	не в	5	13
21	даже и	4	13
22	или иной	1	13
23	в себе	14	12
24	том что	8	12
25	не есть	49	12
26	с точки	3	11
27	по себе	13	11
28	прежде всего	9	11
29	как будто	1	11
30	едва ли	1	10
31	отнюдь не	5	10
32	тем не	3	10
33	и его	2	10
34	не менее	3	10
35	так и	3	10
36	в качестве	1	10
37	при помощи	2	10
38	это значит	24	10
39	не является	1	10
40	есть нечто	6	9
41	в этом	4	9
42	может быть	16	9
43	и даже	6	9
44	все это	5	9
45	но в	5	8
46	содержит в	4	8
47	таким образом	8	8
48	если бы	5	8
49	значит что	24	8
50	что он	1	8
51	в той	3	8
52	в результате	3	8
53	и все	5	8
54	во всяком	3	8
55	то же	6	7
56	мы не	6	7
57	в ней	12	7
58	еще не	8	7
59	и с	8	7
60	ясно что	8	7
61	это не	5	7
62	хотя бы	6	7
63	и тем	3	7
64	есть в	1	7
65	с другой	6	7
66	именно в	1	7
67	сказать что	17	7
68	а не	19	7
69	и потому	5	7
70	тоже есть	3	7
71	сам по	3	6
72	есть не	14	6
73	мы имеем	7	6
74	а только	3	6
75	только при	1	6
76	при этом	1	6
77	всех этих	1	6
78	об этом	3	6
79	как и	8	6
80	в данном	5	6
81	но если	8	6
82	и без	3	6
83	по крайней	4	6
84	же самое	1	6
85	в виду	2	6
86	а также	1	6
87	крайней мере	4	6
88	так что	5	6
89	в одно	1	6
90	но это	10	6
91	и от	3	6
92	для нас	2	6
93	другой стороны	2	6
94	на самом	1	5
95	действительности и	5	5
96	но не	5	5
97	хотя и	4	5
98	и если	2	5
99	в нем	2	5
100	да и	3	5
101	те или	4	5
102	в этих	1	5
103	только и	2	5
104	когда мы	6	5
105	и о	3	5
106	в ее	7	5
107	данном случае	2	5
108	о том	6	5
109	можно сказать	6	5
110	и можно	1	5
111	жизни и	2	5
112	уже не	9	5
113	если мы	8	5
114	так как	7	5
115	случае не	1	5
116	то и	4	5
117	человеческой жизни	1	5
118	не может	17	5
119	вместе с	1	5
120	так же	1	5
121	в смысле	12	5
122	или в	2	5
123	и ни	1	5
124	ничего общего	1	5
125	и т	19	4
126	это и	6	4
127	но даже	3	4
128	без всякого	4	4
129	кроме того	4	4
130	и есть	26	4
131	и наконец	1	4
132	нет никакой	2	4
133	уже в	1	4
134	в этой	3	4
135	что она	15	4
136	времени и	1	4
137	с тем	5	4
138	несмотря на	1	4
139	в своей	5	4
140	всяком случае	2	4
141	в одном	2	4
142	в отношении	4	4
143	тем самым	1	4
144	отличается от	7	4
145	только не	2	4
146	в разных	4	4
147	в самой	2	4
148	ни о	1	4
149	всегда есть	3	4
150	и образ	3	4
151	можно было	2	4
152	здесь как	1	4
153	жизнь и	1	4
154	с ним	8	4
155	никак не	3	4
156	и во	3	4
157	во всех	2	4
158	и только	3	4
159	и ее	18	4
160	ни с	6	4
161	что не	5	4
162	с этим	3	4
163	как бы	12	4
164	однако не	2	4
165	как раз	9	4
166	тех или	5	4
167	и для	9	4
168	бы даже	1	4
169	же в	1	4
170	а в	4	4
171	в то	3	4
172	самом деле	4	3
173	в зависимости	1	3
174	и этот	2	3
175	но она	3	3
176	то это	3	3
177	а еще	1	3
178	первой степени	1	3
179	коем случае	1	3
180	явлений и	1	3
181	тут же	2	3
182	чем же	3	3
183	в истории	1	3
184	же и	1	3
185	в своем	6	3
186	бы весьма	1	3
187	и к	1	3
188	идея и	1	3
189	бы и	5	3
190	движение и	1	3
191	сливаются в	1	3
192	вообще не	2	3
193	т д	19	3
194	или иных	1	3
195	человека в	1	3
196	в другом	2	3
197	того или	1	3
198	с другими	8	3
199	из них	4	3
200	в новое	1	3
201	в жизни	3	3
202	все равно	2	3
203	и мышления	1	3
204	как это	2	3
205	необходимо сказать	1	3
206	нет никакого	2	3
207	если и	1	3
208	и другое	4	3
209	дело не	2	3
210	и сама	3	3
211	можно ли	7	3
212	в коем	1	3
213	имеем дело	3	3
214	уже и	1	3
215	здесь тоже	1	3
216	зависимости от	1	3
217	к тому	3	3
218	в самых	1	3
219	себе в	3	3
220	как мы	4	3
221	другими словами	5	3
222	нечто целое	2	3
223	с собой	2	3
224	и весь	1	3
225	к нему	1	3
226	том или	1	3
227	в его	2	3
228	что и	3	3
229	даже если	1	3
230	не мешает	4	3
231	без этого	2	3
232	для всех	1	3
233	конечно не	1	3
