N	3gram	Propp_Morf_1	EvropaiE
1	с точки зрения	2	16
2	с одной стороны	1	8
3	в том что	3	6
4	для того чтобы	2	5
5	бы то ни	3	4
6	то ни было	2	4
7	в этом отношении	1	3
8	друг с другом	1	3
9	во всяком случае	2	3
10	во всех случаях	1	3
11	между тем в	1	3
12	можно сказать что	1	3
13	нужно заметить что	1	2
14	в пределах этих	1	2
15	между прочим и	1	2
16	то что в	2	2
17	в данном случае	1	2
18	с другой стороны	4	2
19	не может быть	9	2
20	на то что	2	2
21	в большинстве случаев	3	2
22	хотя и не	1	1
23	но так как	1	1
24	хотя бы только	1	1
25	более или менее	2	1
26	в тех случаях	2	1
27	совершенно очевидно также	1	1
28	что же касается	1	1
29	том случае если	1	1
30	нужно помнить что	1	1
31	это можно утверждать	1	1
32	тех случаях когда	2	1
33	к тому или	1	1
34	мы увидим что	1	1
35	то мы увидим	1	1
36	в противном случае	1	1
37	может быть и	2	1
38	мы видим как	1	1
39	и когда мы	1	1
40	как бы то	1	1
41	это один из	1	1
42	в качестве примера	1	1
43	а также и	3	1
44	не могут быть	2	1
45	в том случае	1	1
46	то время как	3	1
47	в связи с	8	1
48	но как бы	1	1
49	так как мы	1	1
50	друг к другу	2	1
51	в последнем случае	2	1
52	этот вопрос мы	1	1
53	вместо того чтобы	1	1
54	это мы видим	1	1
55	мы не можем	1	1
56	не означает что	1	1
57	в то время	3	1
58	говорить о том	1	1
59	со стороны тех	1	1
60	связи с этим	4	1
61	это значит что	1	1
62	не более как	1	1
63	он не дает	1	1
64	вопрос о характере	1	1
65	к тому что	3	1
66	тех или иных	1	1
67	т е не	1	1
68	во многих отношениях	1	1
69	или вовсе не	1	1
70	независимо от того	3	1
71	и т д	39	1
72	и в начале	1	1
