N	4gram	Vinokur_St_1	Dialekti
1	ни в каком случае	1	4
2	в то же время	4	4
3	не имеет ничего общего	2	3
4	имеет ничего общего с	2	3
5	т д и т	1	2
6	и т д но	4	2
7	д и т д	1	2
8	и в то же	1	2
9	и т д и	2	2
10	в каком случае не	1	2
11	я имею в виду	1	1
12	дело в том что	4	1
13	в то или иное	1	1
14	до сих пор не	1	1
15	что же это за	1	1
16	с точки зрения той	1	1
17	и т д на	1	1
18	в то время как	1	1
19	потому что он не	1	1
20	и в голову не	1	1
21	а на самом деле	1	1
22	и т д в	1	1
23	это не значит что	3	1
24	ни на одну минуту	1	1
25	но в то же	2	1
26	и в этом отношении	1	1
27	не значит что в	1	1
28	и о том что	1	1
29	если бы мы стали	1	1
30	отделены друг от друга	1	1
31	если я скажу что	1	1
