N	2gram	Medvedev_I_1	Vvedenie
1	и в	1	32
2	в этом	2	30
3	для того	1	21
4	того чтобы	1	20
5	того что	1	12
6	и не	2	12
7	что в	2	10
8	с другой	1	8
9	в руки	1	6
10	тем что	1	6
11	все это	1	6
12	в целом	1	5
13	в них	1	5
14	другой стороны	1	5
15	от этого	1	4
16	отношению к	1	4
17	видит в	1	4
18	а в	1	4
19	только что	1	4
20	по отношению	1	4
21	как о	1	4
22	все эти	1	3
23	говорить о	1	3
24	если бы	1	3
25	нисколько не	1	3
26	должен быть	2	3
27	а также	1	3
28	хорошо знать	1	2
29	в значительной	1	2
30	и с	3	2
31	бы в	1	2
32	жизни и	1	2
33	того же	1	2
34	так и	1	2
35	и со	1	2
36	произведения и	1	2
37	на котором	1	2
38	никогда не	1	2
39	другое дело	1	2
40	а отсюда	1	2
41	и сам	1	2
42	ничего не	2	2
43	могло бы	1	2
44	как только	1	2
45	то она	1	2
46	и др	1	2
47	знать и	1	2
48	них не	1	2
49	по существу	1	2
50	есть только	1	2
51	значительной мере	1	2
52	и творчества	1	2
53	а если	1	2
54	и многое	1	1
55	о ней	1	1
56	же это	1	1
57	после смерти	1	1
58	и тот	1	1
59	оба они	2	1
60	и ничего	1	1
61	а для	1	1
62	и без	1	1
63	не дает	1	1
64	в эту	1	1
65	цель и	1	1
66	без этого	1	1
67	для него	1	1
68	было не	1	1
69	и очень	1	1
70	этим и	1	1
71	о жизни	1	1
72	автора и	1	1
73	что при	1	1
74	неудивительно что	1	1
75	и о	1	1
76	очевидно что	1	1
77	а с	1	1
78	нам в	1	1
79	это было	1	1
80	и та	1	1
81	не остается	1	1
82	творчества пушкина	1	1
83	себя в	1	1
84	по поводу	1	1
85	и занимается	1	1
