N	2gram	Vygotskiy__4	IolandNe
1	и с	4	3
2	должен быть	1	2
3	и не	8	2
4	в этом	24	2
5	он не	1	2
6	что в	19	2
7	самого себя	2	2
8	ничего не	1	2
9	себя в	3	1
10	все это	1	1
11	нисколько не	2	1
12	и тот	7	1
13	и в	20	1
14	только что	4	1
15	я не	1	1
16	то и	1	1
17	а по	1	1
18	бы в	3	1
19	как только	2	1
20	того же	9	1
21	и со	1	1
22	с другой	12	1
23	и та	1	1
24	а в	2	1
25	вплоть до	1	1
26	доказать что	1	1
27	того что	10	1
28	комплекс не	1	1
29	как о	1	1
30	на котором	2	1
31	а с	2	1
32	другой стороны	9	1
33	оказывается для	1	1
34	в первую	4	1
35	для него	2	1
36	а также	2	1
37	нам в	2	1
38	доказательство того	1	1
39	в основе	17	1
40	что при	2	1
41	говорить о	1	1
42	понятий и	9	1
43	и сам	1	1
44	видит в	1	1
45	отношению к	1	1
46	а если	1	1
47	так и	5	1
48	того чтобы	7	1
49	первую очередь	4	1
50	никогда не	5	1
51	его личности	1	1
52	следующим образом	3	1
53	бы все	1	1
54	тех же	1	1
55	для других	2	1
56	тем что	7	1
57	в целом	11	1
58	по поводу	1	1
59	по отношению	1	1
60	все эти	5	1
61	по существу	3	1
62	со всеми	3	1
63	если бы	5	1
64	для того	5	1
