N	2gram	Vinokur_Ku_2	SlovoVZh
1	а не	10	2
2	у нас	12	1
3	оно не	2	1
4	его и	1	1
5	его форма	1	1
6	эта же	1	1
7	в процессе	3	1
8	в своей	2	1
9	может быть	15	1
10	на самом	2	1
11	в том	19	1
12	легче всего	1	1
13	по себе	10	1
14	и по	3	1
15	формой и	1	1
16	и его	3	1
17	не может	9	1
18	живет и	3	1
19	и более	2	1
20	себе как	1	1
21	как к	1	1
22	таким образом	5	1
23	свое значение	1	1
24	или о	2	1
25	но это	3	1
26	быть и	1	1
27	том же	1	1
28	все они	2	1
29	так и	4	1
30	и для	2	1
31	или не	1	1
32	сами по	1	1
33	по отношению	1	1
34	и к	1	1
35	и сейчас	2	1
36	как на	1	1
37	точки зрения	14	1
