N	2gram	Propp_Isto_4	ViktorSh
1	и в	26	2
2	том что	3	2
3	в том	3	2
4	и только	5	1
5	тем более	1	1
6	нет есть	1	1
7	под влиянием	1	1
8	ни к	1	1
9	в другом	5	1
10	хотя бы	2	1
11	и не	9	1
12	и его	10	1
13	потому что	6	1
14	и то	6	1
15	теснейшим образом	1	1
16	поэтического творчества	1	1
17	к созданию	1	1
18	все это	2	1
19	совершенно ясно	2	1
20	по поводу	1	1
21	именно в	1	1
22	главным образом	2	1
23	по своим	1	1
24	чего не	1	1
25	как же	1	1
26	то чего	3	1
27	в частности	2	1
28	так в	4	1
29	одно и	1	1
30	стоит на	2	1
31	образом из	1	1
32	говоря о	1	1
33	в которых	4	1
34	не играет	1	1
35	что имеется	1	1
36	только в	3	1
37	то же	8	1
38	на заре	1	1
39	говорится в	1	1
40	ясно что	1	1
41	так как	9	1
42	бы уже	1	1
43	чем к	1	1
44	к чему	1	1
45	не будем	1	1
46	но это	3	1
47	в этом	7	1
48	имеется в	2	1
49	а только	1	1
50	по существу	3	1
51	к этому	5	1
52	не хотел	1	1
