N	2gram	Medvedev_U_1	VLabPisa
1	таким образом	2	27
2	в этом	7	26
3	и в	14	25
4	не только	10	22
5	может быть	6	21
6	хотя бы	5	20
7	и не	8	19
8	художественного творчества	5	18
9	не может	7	17
10	в его	2	15
11	в процессе	1	14
12	прежде всего	8	13
13	в том	2	13
14	этом отношении	2	13
15	все это	5	12
16	в частности	3	12
17	л толстой	1	11
18	с другой	4	11
19	в качестве	1	10
20	в художественном	5	10
21	не могут	2	10
22	о том	1	10
23	об этом	1	9
24	что в	1	9
25	для него	3	9
26	но и	4	9
27	то же	5	9
28	и др	1	9
29	к этому	1	9
30	другой стороны	3	8
31	могут быть	2	8
32	не следует	3	8
33	в своем	1	8
34	как и	3	7
35	же в	1	7
36	не было	1	7
37	произведения в	1	7
38	в конечном	4	7
39	а не	10	7
40	было бы	3	7
41	том что	2	7
42	в себе	2	6
43	так и	1	6
44	в нем	1	6
45	у него	1	6
46	бы и	2	6
47	художественное творчество	1	6
48	между тем	2	6
49	это не	3	6
50	то что	7	6
51	художественном творчестве	2	6
52	в порядке	1	6
53	в то	3	6
54	или менее	1	6
55	более или	1	6
56	л толстого	1	6
57	художественного произведения	2	6
58	их в	1	6
59	одним из	2	5
60	приводит к	1	5
61	все же	3	5
62	же время	3	5
63	не в	2	5
64	в их	4	5
65	в искусстве	6	5
66	произведения как	1	5
67	конечном счете	4	5
68	сказать что	1	5
69	очевидно что	3	5
70	думается что	2	5
71	только в	2	5
72	в пределах	1	5
73	можно сказать	1	4
74	как раз	2	4
75	в своей	3	4
76	вот почему	7	4
77	художественное произведение	5	4
78	никогда не	1	4
79	что все	2	4
80	равно как	1	4
81	в этой	4	4
82	в самом	2	4
83	их и	2	4
84	с его	2	4
85	художественном произведении	2	4
86	что он	2	4
87	всего лишь	1	3
88	в значительной	1	3
89	как на	1	3
90	в котором	1	3
91	большей или	1	3
92	в конце	2	3
93	имеет свою	1	3
94	с тем	1	3
95	сводится к	2	3
96	того что	1	3
97	нет и	1	3
98	ее в	1	3
99	у нас	3	3
100	человека и	1	3
101	данного произведения	1	3
102	пишет в	1	3
103	или меньшей	1	3
104	даже и	2	3
105	бы в	1	3
106	этой области	3	3
107	всех этих	2	3
108	что и	2	3
109	она не	1	3
110	далеко не	1	3
111	как целого	1	3
112	не столь	1	3
113	по существу	2	3
114	процессе художественного	1	3
115	значительной мере	1	3
116	в которых	1	3
117	говорить не	1	3
118	говоря иначе	2	3
119	в виду	1	3
120	в которой	1	2
121	стороны в	1	2
122	вне его	1	2
123	а о	2	2
124	же как	1	2
125	конце концов	2	2
126	достоевского и	1	2
127	даже не	1	2
128	и для	2	2
129	оно является	1	2
130	крайней мере	2	2
131	по крайней	2	2
132	сих пор	2	2
133	у пушкина	1	2
134	он в	1	2
135	до сих	2	2
136	такое понимание	1	2
137	в системе	2	2
138	по себе	2	2
139	то о	1	2
140	по его	1	2
141	этот процесс	1	2
142	ее как	1	2
143	но не	2	2
144	а для	1	2
145	и формы	3	2
146	точном смысле	1	2
147	и даже	1	2
148	что для	1	2
149	восприятия и	1	2
150	из которых	1	2
151	искусства не	1	2
152	в пользу	1	2
153	в большей	1	2
154	а как	2	2
155	но в	3	2
156	и через	2	2
157	что при	1	2
158	тогда когда	1	2
159	отнюдь не	1	2
160	что такое	4	2
161	относится к	1	2
162	в течение	1	2
163	к сожалению	3	2
164	и потому	1	2
165	цельного художественного	1	2
166	и быть	1	2
167	искусство как	1	2
168	не столько	2	2
169	о чем	2	2
170	не о	3	2
171	без них	1	2
172	мы имеем	1	2
173	если бы	2	2
174	одной стороны	1	2
175	в словесном	1	2
176	но даже	2	2
177	не вполне	1	2
178	с одной	1	2
179	он не	1	2
180	в точном	1	2
181	в различных	1	2
182	не приходится	2	2
183	все они	2	2
184	в области	3	2
185	в ней	1	2
186	что она	2	2
187	формы и	2	2
188	он может	1	2
189	меньшей степени	2	2
190	но для	1	2
191	что мы	2	2
192	же самое	2	2
193	он и	1	2
194	познания или	1	1
195	что по	1	1
196	без труда	1	1
197	не значит	1	1
198	на его	1	1
199	еще раз	1	1
200	поэзии и	1	1
201	данном случае	1	1
202	входит в	1	1
203	художественных произведений	2	1
204	мы и	2	1
205	именно к	1	1
206	но он	1	1
207	материал для	2	1
208	это то	1	1
209	у р	2	1
210	количество и	1	1
211	о котором	1	1
212	методических приемов	1	1
213	этого не	1	1
214	сводить к	1	1
215	и толстого	1	1
216	содержание в	1	1
217	свойственна не	1	1
218	на своем	1	1
219	представляется не	1	1
220	должна быть	2	1
221	случайно и	1	1
222	него она	1	1
223	и все	1	1
224	на то	1	1
225	в виде	1	1
226	на эту	2	1
227	от которой	1	1
228	это для	1	1
229	только материал	1	1
230	верно и	1	1
231	и так	1	1
232	строго говоря	1	1
233	приходится признать	2	1
234	его и	2	1
235	пишет он	2	1
236	это в	1	1
237	самом деле	2	1
238	путаницу и	1	1
239	образом на	1	1
240	содержания на	1	1
241	задачи и	1	1
242	относятся к	1	1
243	словесного художественного	1	1
244	мы получаем	2	1
245	а между	2	1
246	на предыдущих	1	1
247	это значит	1	1
248	часто встречается	1	1
249	ее нельзя	2	1
250	течение многих	1	1
251	религии и	1	1
252	если не	2	1
253	толстого и	1	1
254	или даже	1	1
255	образы но	1	1
256	же не	2	1
257	этом плане	1	1
258	плана он	1	1
259	все его	1	1
260	этом смысле	2	1
261	и приемы	1	1
262	почти не	1	1
263	содержания и	1	1
264	стихотворений и	1	1
265	то есть	1	1
266	этого сложного	1	1
267	в таком	1	1
268	случае он	1	1
269	под понятие	1	1
270	связанных с	1	1
271	ходов и	1	1
272	в шкловский	2	1
273	в той	1	1
274	содержательны и	1	1
275	и строится	1	1
276	конечно нет	2	1
277	не для	1	1
278	материалов и	1	1
279	очень часто	1	1
280	достаточно ясно	1	1
281	к изучению	1	1
282	наивно полагая	1	1
283	состоит из	1	1
284	что этот	1	1
285	его собственному	1	1
286	противном случае	2	1
287	меньшей мере	1	1
288	более точно	1	1
289	ал блока	1	1
290	и служит	1	1
291	техники словесного	1	1
292	как особую	1	1
293	лирических стихотворений	1	1
294	обычное правило	1	1
295	искусстве это	1	1
296	в противном	2	1
297	не все	2	1
298	в совокупности	1	1
299	же автор	1	1
300	так то	1	1
301	сводится именно	1	1
302	должно быть	1	1
303	вообще в	1	1
304	он был	1	1
305	тем что	2	1
306	известном письме	1	1
307	которых она	1	1
308	эдгар по	1	1
309	по меньшей	1	1
310	уже не	1	1
311	это было	2	1
312	формы как	1	1
313	что еще	1	1
314	любопытно что	1	1
315	сам по	1	1
316	для этого	3	1
317	само же	1	1
318	вряд ли	3	1
319	произведения а	1	1
320	к лицу	1	1
321	формы в	3	1
322	в сфере	1	1
323	эмоциональный тон	1	1
324	того как	1	1
325	об искусстве	1	1
326	может обойтись	1	1
327	содержания в	1	1
328	искусстве нет	2	1
329	не самый	1	1
330	для обоснования	1	1
331	месте в	1	1
332	и что	1	1
333	обе эти	1	1
334	к области	2	1
335	отношении очень	1	1
336	она представляется	1	1
337	не как	3	1
338	обращение к	1	1
339	не случайно	2	1
340	словесном творчестве	1	1
341	с каждым	1	1
342	в известном	1	1
343	является только	1	1
344	толстой в	1	1
345	полагаем что	1	1
346	природе и	1	1
347	признать что	1	1
348	или точнее	3	1
349	художником и	1	1
350	отсюда как	1	1
351	эти тенденции	1	1
352	но что	1	1
353	только для	1	1
354	но по	1	1
355	предыдущих страницах	1	1
356	где же	1	1
357	как внутренне	1	1
358	так или	1	1
359	о методах	1	1
360	говорит он	1	1
361	и теоретической	1	1
362	и это	1	1
363	своей работе	1	1
364	несомненно и	1	1
365	конечно не	4	1
366	со своими	1	1
367	имеем в	1	1
368	искусства и	1	1
369	быть в	1	1
370	мы полагаем	1	1
371	или иначе	1	1
372	материала и	2	1
373	и то	3	1
374	о нем	1	1
375	творчество и	1	1
376	без этого	1	1
377	ней не	1	1
378	и явно	1	1
379	полагая что	1	1
380	является в	2	1
381	друг другу	1	1
382	но это	2	1
383	в данном	1	1
