N	3gram	Propp_Isto_5	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в связи с	4	3
4	он не только	1	2
5	с точки зрения	1	2
6	не может быть	3	2
7	в том что	2	2
8	а с точки	1	1
9	в соответствии с	1	1
10	уже говорилось выше	1	1
11	но для нас	1	1
12	до сих пор	2	1
13	но это не	2	1
14	точно так же	1	1
15	которого никто не	1	1
16	но мы знаем	1	1
17	в это время	2	1
18	о том как	2	1
19	я покажу тебе	1	1
20	так же как	3	1
21	тем что он	2	1
22	и что он	1	1
23	что в жизни	1	1
24	во всяком случае	1	1
25	что у него	1	1
26	мы знаем о	1	1
27	с другой стороны	8	1
28	о нем в	1	1
29	тем не менее	4	1
30	в то время	1	1
31	в свою очередь	1	1
32	о том что	4	1
33	и из него	1	1
34	лет тому назад	1	1
35	на то что	2	1
