N	2gram	Bakhtin_Pr_4	Mirosoze
1	и в	46	46
2	у достоевского	16	34
3	в нем	17	22
4	у него	5	22
5	может быть	23	21
6	в этом	16	20
7	и не	27	18
8	для него	2	18
9	не только	14	18
10	никогда не	6	18
11	есть лишь	1	17
12	не может	19	15
13	но и	12	15
14	человека в	1	14
15	как и	12	13
16	иван карамазов	1	13
17	а не	11	13
18	не есть	1	13
19	друг друга	6	12
20	прежде всего	9	12
21	потому что	4	12
22	но он	3	11
23	не было	2	11
24	и он	6	11
25	у нас	2	11
26	в ней	1	11
27	в себе	7	10
28	та же	1	10
29	он не	4	10
30	но в	6	10
31	не знает	4	9
32	достоевский был	1	9
33	не в	10	9
34	любовь к	4	8
35	отношение к	3	8
36	переходит в	1	8
37	она не	3	8
38	для достоевского	2	8
39	в своем	3	8
40	и есть	1	8
41	так как	5	8
42	как бы	19	8
43	но это	6	8
44	ивана карамазова	1	7
45	хотя бы	2	7
46	в нашем	1	7
47	как в	4	7
48	человек не	1	7
49	человека и	3	7
50	и потому	1	7
51	в этой	3	7
52	и для	3	7
53	в мире	3	7
54	и к	9	7
55	что он	6	7
56	и там	1	6
57	и здесь	4	6
58	вопрос о	2	6
59	в бесах	1	6
60	жизни и	5	6
61	так же	3	6
62	что это	1	6
63	жизнь в	3	6
64	он сам	2	6
65	там и	2	6
66	безусловное значение	1	5
67	и вот	1	5
68	в духе	2	5
69	и все	9	5
70	в конце	3	5
71	в своей	3	5
72	бы и	2	5
73	те же	2	5
74	к тому	2	5
75	это не	5	5
76	что она	1	5
77	то же	6	5
78	то что	4	5
79	в его	9	5
80	и его	6	5
81	в отношении	3	5
82	во всем	4	5
83	есть прежде	1	5
84	один из	1	5
85	что все	1	5
86	по преимуществу	1	5
87	не способен	1	5
88	в самом	9	5
89	и это	3	5
90	настасья филипповна	4	4
91	должны быть	1	4
92	они не	2	4
93	так и	4	4
94	в жизни	5	4
95	в свою	1	4
96	что в	4	4
97	жизнь и	3	4
98	они и	1	4
99	того чтобы	1	4
100	что у	1	4
101	уже не	4	4
102	вопроса о	1	4
103	только и	2	4
104	для этого	2	4
105	чем у	3	4
106	тому что	1	4
107	что и	3	4
108	до конца	4	4
109	также и	3	4
110	с его	5	4
111	себя в	3	4
112	есть уже	2	4
113	все что	2	4
114	том что	4	4
115	по своей	3	3
116	достоевский в	1	3
117	отношении к	2	3
118	ни в	6	3
119	людей и	4	3
120	лишь как	2	3
121	духа и	1	3
122	и преступления	1	3
123	есть в	6	3
124	с самим	5	3
125	сих пор	8	3
126	с ним	2	3
127	и во	3	3
128	к которому	1	3
129	не знал	1	3
130	до сих	8	3
131	и с	7	3
132	менее всего	1	3
133	своей духовной	1	3
134	его в	1	3
135	же есть	1	3
136	начала в	1	3
137	и на	11	3
138	и перед	1	3
139	в том	9	3
140	в сне	2	3
141	высшей степени	1	3
142	творчестве достоевского	2	3
143	и всегда	1	3
144	на почве	2	3
145	себя и	3	3
146	в высшей	1	3
147	смысле слова	2	3
148	что было	1	3
149	как он	3	3
150	только с	1	3
151	связано с	1	3
152	сказать что	2	3
153	тем что	3	3
154	человек в	1	3
155	в каждом	6	3
156	если бы	3	3
