N	3gram	Losev_Dial_1	Morfolog
1	и т д	19	47
2	в этих случаях	1	13
3	в связи с	1	8
4	не может быть	3	8
5	связи с этим	1	5
6	с точки зрения	12	4
7	т д но	2	4
8	с другой стороны	4	4
9	тем не менее	1	4
10	как мы увидим	1	3
11	в последнем случае	1	3
12	на самом деле	2	3
13	но все же	1	3
14	же может быть	2	2
15	более или менее	3	2
16	т д они	1	2
17	точно так же	2	2
18	может быть и	3	2
19	то время как	1	2
20	с одной стороны	2	2
21	на первый взгляд	1	2
22	это не значит	1	2
23	в то время	1	2
24	не значит что	3	2
25	для того чтобы	1	2
26	в том что	7	2
27	т д в	1	2
28	и может быть	1	1
29	заметим только что	1	1
30	хотя и не	1	1
31	постольку поскольку это	1	1
32	не всегда так	1	1
33	то это значит	2	1
34	это было бы	1	1
35	это уже не	1	1
36	она может быть	1	1
37	что иное как	1	1
38	что же касается	1	1
39	то прежде всего	1	1
40	то как же	2	1
41	то же можно	1	1
42	заметить что в	1	1
43	до сих пор	2	1
44	сих пор не	1	1
45	если же он	1	1
46	ни в коем	1	1
47	было бы показать	1	1
48	но это не	1	1
49	мы увидим как	1	1
50	можно было бы	4	1
51	но если мы	1	1
52	в коем случае	1	1
53	что там где	1	1
54	одно и то	4	1
55	там где есть	1	1
56	можно сравнить с	1	1
57	можно сказать о	1	1
58	том или другом	1	1
59	чтобы получить в	1	1
60	же можно сказать	2	1
61	в качестве примера	2	1
62	и то же	4	1
63	имеет ничего общего	3	1
64	иметь в виду	3	1
65	то что он	1	1
66	они даны в	1	1
67	т д все	1	1
68	во всяком случае	2	1
69	а на самом	1	1
70	но так как	1	1
71	ни в каких	1	1
72	не имеет ничего	3	1
73	во всех этих	1	1
74	есть не что	1	1
75	друг к другу	2	1
76	то же время	4	1
77	может быть заменено	1	1
78	и наконец даже	1	1
79	коем случае не	1	1
80	далеко не всегда	1	1
81	те или иные	1	1
82	о том что	2	1
83	то что не	1	1
84	если бы мы	1	1
85	с самого начала	1	1
86	это значит что	9	1
87	той или иной	3	1
88	т е не	1	1
89	можно сказать что	3	1
90	на то что	4	1
91	то мы имеем	1	1
92	в то же	4	1
93	может быть названа	1	1
94	к тому что	2	1
95	не что иное	1	1
96	т е о	2	1
97	друг с другом	1	1
98	дело не в	1	1
99	того или другого	1	1
100	не имеет смысла	1	1
101	следует за ней	1	1
