N	3gram	Losev_Vesc_1	formyVre
1	с точки зрения	3	8
2	для того чтобы	2	7
3	не только в	4	5
4	в то же	1	4
5	друг с другом	1	4
6	мы уже сказали	1	3
7	и в особенности	1	3
8	о том как	1	3
9	не в смысле	1	3
10	в том что	4	3
11	и т д	19	3
12	а следовательно и	1	2
13	равно как и	2	2
14	то же самое	1	2
15	до сих пор	1	2
16	и во всех	1	2
17	сами по себе	3	2
18	потому что они	3	2
19	в этом отношении	1	2
20	это значит что	19	2
21	и того же	1	1
22	мы будем говорить	1	1
23	не может не	1	1
24	и говорить о	1	1
25	было бы и	3	1
26	в той или	2	1
27	есть и что	1	1
28	как и во	1	1
29	каждой из них	1	1
30	есть прежде всего	2	1
31	так что в	3	1
32	и не только	4	1
33	тот или иной	1	1
34	они вовсе не	1	1
35	в конце концов	2	1
36	а так как	2	1
37	же самое время	1	1
38	с самим собою	2	1
39	может быть или	1	1
40	с тех пор	1	1
41	по самому своему	1	1
42	с этой точки	1	1
43	вместе с тем	1	1
44	одно и то	4	1
45	у нас это	1	1
46	то время как	1	1
47	в данном случае	2	1
48	она еще не	1	1
49	с полной ясностью	1	1
50	с одной стороны	3	1
51	можно говорить о	2	1
52	и то же	4	1
53	или что то	1	1
54	по сравнению с	6	1
55	они должны быть	1	1
56	себя же самой	2	1
57	руки и ноги	2	1
58	это не значит	1	1
59	с чем не	1	1
60	но только в	1	1
61	то что на	1	1
62	с другой стороны	2	1
63	однако не только	1	1
64	не может быть	6	1
65	прежде всего к	1	1
66	но в смысле	1	1
67	этой точки зрения	1	1
68	что то же	1	1
69	у него и	1	1
70	и как бы	1	1
71	но это значит	1	1
72	в то время	1	1
73	в свою очередь	4	1
74	о том что	4	1
75	с тем что	1	1
76	или должно быть	1	1
77	ни с чем	2	1
78	как бы ни	2	1
79	можно сказать что	3	1
80	одного и того	1	1
81	к тому что	2	1
82	момент в ней	2	1
83	в себе в	2	1
84	что и в	1	1
