N	3gram	Tiupa_Disk_1	Myshleni
1	в том что	13	17
2	вместе с тем	1	10
3	заключается в том	1	7
4	в отличие от	4	6
5	с самого начала	1	6
6	с одной стороны	9	5
7	в связи с	1	5
8	тем не менее	1	5
9	и того же	2	4
10	во всяком случае	1	4
11	одного и того	2	4
12	о том что	5	3
13	состоит в том	2	3
14	сами по себе	2	3
15	в этом отношении	1	3
16	а с другой	3	3
17	с другой стороны	3	3
18	на то что	1	3
19	как мы видели	1	3
20	только потому что	1	2
21	по отношению к	9	2
22	в этом смысле	1	2
23	только в том	2	2
24	тому или иному	1	2
25	в известном смысле	1	2
26	не может быть	3	2
27	того или иного	1	2
28	так и в	1	2
29	в свою очередь	3	2
30	точки зрения на	1	2
31	той или иной	3	2
32	как и в	1	2
33	по своей природе	2	1
34	том что в	2	1
35	том что с	1	1
36	как одного из	1	1
37	собой как и	1	1
38	представляет собой не	1	1
39	одному и тому	1	1
40	более или менее	2	1
41	подобно тому как	2	1
42	в том числе	2	1
43	то же самое	2	1
44	о том как	1	1
45	в этом случае	1	1
46	с точки зрения	1	1
47	до сих пор	1	1
48	как и все	1	1
49	тот или иной	2	1
50	хотя бы и	1	1
51	сам по себе	1	1
52	имеем дело не	1	1
53	во всех этих	1	1
54	к тому или	1	1
55	по аналогии с	1	1
56	из того что	1	1
57	и речевой деятельности	1	1
58	том числе и	2	1
59	обратить внимание на	2	1
60	том или ином	1	1
61	таким же образом	1	1
62	ту или иную	1	1
63	которые лежат в	1	1
64	в данном случае	2	1
65	в том чтобы	2	1
66	и тем же	1	1
67	не только в	2	1
68	именно в этой	1	1
69	не сводится к	2	1
70	предполагает в качестве	1	1
71	в значительной степени	2	1
72	имеем дело с	1	1
73	к той же	1	1
74	и в том	1	1
75	одним и тем	1	1
76	и как бы	3	1
77	между собой и	1	1
78	и тому же	1	1
79	в этом же	1	1
80	одной стороны он	1	1
81	не только потому	1	1
82	к одному и	1	1
83	в известной степени	1	1
84	в результате этого	1	1
85	по мере развития	1	1
86	то что они	1	1
87	с той или	1	1
88	здесь как и	1	1
89	лежит не в	1	1
90	и не могло	1	1
