N	3gram	Berdyaev_M_2	Istorich
1	о том что	2	5
2	так же как	3	4
3	в том что	2	4
4	что у него	1	4
5	не может быть	8	3
6	лежит в основе	1	2
7	что это не	2	2
8	мы увидим что	2	2
9	как и в	2	2
10	но это не	2	2
11	до сих пор	3	2
12	что и в	4	2
13	должны быть признаны	1	2
14	так как он	2	2
15	после того как	2	2
16	т е в	2	2
17	то же что	1	2
18	но и в	1	2
19	у него есть	1	2
20	показывает как в	1	2
21	они должны быть	1	1
22	по отношению к	2	1
23	приводит нас к	1	1
24	может быть названо	1	1
25	не имеет своего	1	1
26	у него нет	3	1
27	друг на друга	1	1
28	это означает что	2	1
29	и пришли к	1	1
30	к тому что	3	1
31	она не может	1	1
32	ней все та	1	1
33	что он не	1	1
34	в нем и	1	1
35	и та же	2	1
36	же как и	3	1
37	но он не	1	1
38	есть и в	1	1
39	он стоит на	1	1
40	своего отца и	1	1
41	если бы для	1	1
42	и он же	2	1
43	тем что отец	1	1
44	она никогда не	3	1
45	сама по себе	1	1
46	одна и та	2	1
47	с точки зрения	1	1
48	и всякий раз	1	1
49	а не в	2	1
50	во многих других	1	1
51	но так как	1	1
52	склонен думать что	1	1
53	в плену у	1	1
