N	3gram	Vinokur_St_1	TeoriaLi
1	по отношению к	3	8
2	в то же	4	6
3	в том что	17	6
4	то же время	4	6
5	того или иного	4	5
6	в данном случае	6	5
7	в первой строфе	2	4
8	в этом смысле	1	3
9	с другой стороны	6	3
10	той или иной	1	3
11	тем не менее	2	3
12	так или иначе	2	2
13	с одной стороны	2	2
14	в стилистическом отношении	1	2
15	в этой системе	1	2
16	как и в	2	2
17	а с другой	1	2
18	не может быть	5	2
19	мы имеем дело	1	2
20	с точки зрения	8	2
21	в соответствии с	1	2
22	в безударном положении	1	1
23	а в том	1	1
24	из этих двух	2	1
25	в таких случаях	1	1
26	говорит что он	1	1
27	я думаю что	4	1
28	он не только	1	1
29	в том числе	2	1
30	в том случае	1	1
31	бы то ни	1	1
32	точно так же	1	1
33	можно даже сказать	1	1
34	в иных случаях	2	1
35	и в то	1	1
36	но в то	2	1
37	в первую очередь	2	1
38	бы они ни	1	1
39	текста как и	1	1
40	ведь это не	1	1
41	может быть и	2	1
42	для того чтобы	10	1
43	имеем перед собой	1	1
44	имеем дело с	2	1
45	дело не в	2	1
46	в целом ряде	1	1
47	тем или иным	3	1
48	как это делает	1	1
49	что он не	1	1
50	мере в какой	2	1
51	о том что	11	1
52	в той мере	1	1
53	в настоящее время	1	1
54	можно сказать не	1	1
55	в то время	2	1
56	в том и	1	1
57	том что в	3	1
58	с которыми он	1	1
59	той мере в	1	1
60	в этом случае	2	1
61	в статье о	2	1
62	даже сказать что	1	1
63	то или иное	3	1
64	только то что	1	1
65	на вопрос о	2	1
66	но дело в	1	1
67	содержит в себе	1	1
68	и по отношению	1	1
69	и не могла	1	1
70	в том-то и	1	1
71	дело в том	4	1
72	так же как	3	1
73	том что он	1	1
74	в той или	1	1
75	ту или иную	1	1
76	я никогда не	1	1
77	том числе и	2	1
78	они ни были	1	1
79	в одной из	1	1
80	как раз в	2	1
81	по крайней мере	2	1
82	а между тем	1	1
