N	2gram	Losev_Dial_4	BTomashe
1	у нас	3	3
2	и не	30	2
3	все это	9	2
4	в ней	5	2
5	видеть в	1	2
6	можно было	1	2
7	не то	1	2
8	крайней мере	7	1
9	более подробно	1	1
10	же не	1	1
11	за пределы	3	1
12	тем более	6	1
13	остановиться на	1	1
14	говорить о	11	1
15	бы только	4	1
16	будто бы	1	1
17	об этом	3	1
18	и в	15	1
19	и о	8	1
20	что все	4	1
21	не признать	1	1
22	по отдельным	1	1
23	говорить не	1	1
24	с другой	1	1
25	в своей	3	1
26	на самом	1	1
27	как будто	2	1
28	из ее	2	1
29	его какой-то	1	1
30	и нет	3	1
31	было бы	9	1
32	классификация этих	1	1
33	все же	2	1
34	по этим	1	1
35	кроме того	2	1
36	никак не	2	1
37	такое определение	1	1
38	было и	1	1
39	еще не	4	1
40	и на	5	1
41	и классификация	1	1
42	в пределах	1	1
43	одной из	2	1
44	должна быть	7	1
45	прежде всего	11	1
46	в данном	3	1
47	и во	2	1
48	так и	5	1
49	не было	2	1
50	его не	1	1
51	не мешало	2	1
52	совершенно не	3	1
53	не о	4	1
54	всего в	1	1
55	до конца	1	1
56	а не	18	1
57	что в	7	1
58	в области	3	1
59	другой стороны	2	1
60	говорить об	2	1
61	и ее	8	1
62	по крайней	7	1
63	отнюдь не	4	1
64	признать его	1	1
65	таким образом	5	1
66	вопрос о	2	1
67	и более	1	1
68	и потому	3	1
69	не только	8	1
70	и свободный	1	1
71	иначе не	1	1
72	во всяком	2	1
