N	2gram	Berdyaev_V_1	Hudozhes
1	и в	16	28
2	том что	2	19
3	в ее	1	18
4	и не	20	18
5	в том	3	15
6	а не	7	14
7	в этом	4	13
8	не в	3	13
9	не только	2	11
10	как и	4	11
11	в его	4	11
12	уже не	2	10
13	не случайно	1	10
14	но и	5	9
15	так и	4	8
16	между тем	2	8
17	что он	4	8
18	в жизни	3	8
19	может быть	1	8
20	о чем	1	8
21	я не	1	7
22	тогда как	1	7
23	в мире	5	7
24	к тому	3	7
25	как это	1	7
26	и все	4	7
27	с ним	2	7
28	жизни в	1	7
29	в котором	4	6
30	то же	1	6
31	не было	3	6
32	и с	1	6
33	в глазах	1	6
34	в своей	3	6
35	тем что	2	6
36	для себя	1	6
37	это не	2	6
38	человеческой жизни	1	6
39	а в	2	6
40	то что	9	6
41	жизни и	3	6
42	с его	3	5
43	в этой	1	5
44	как в	1	5
45	в самом	1	5
46	что это	1	5
47	в своем	1	5
48	у него	1	5
49	никогда не	3	5
50	ничего не	1	5
51	она не	1	5
52	и сам	2	5
53	для него	2	5
54	как бы	5	5
55	да и	2	5
56	что в	3	5
57	и другие	1	5
58	а между	2	4
59	и т	2	4
60	но не	2	4
61	человека в	1	4
62	и уже	1	4
63	тому что	3	4
64	того чтобы	2	4
65	вслед за	2	4
66	что они	7	4
67	только в	2	4
68	что и	3	4
69	для того	1	4
70	говорит о	1	4
71	превращается в	3	4
72	то и	1	4
73	о своем	1	4
74	бы и	3	4
75	человека и	6	3
76	на себя	5	3
77	в ней	4	3
78	еще не	8	3
79	и на	1	3
80	личностью и	1	3
81	в нем	4	3
82	можно было	2	3
83	что все	4	3
84	в них	3	3
85	в этих	3	3
86	что было	2	3
87	любви и	1	3
88	на него	1	3
89	в человеке	1	3
90	и это	2	3
91	когда в	2	3
92	к нему	1	3
93	с ними	1	3
94	и ее	1	3
95	для нас	2	3
96	в одном	1	3
97	что на	1	3
98	с другой	1	3
99	а с	2	3
100	прежде всего	2	3
101	так же	1	3
102	в состоянии	1	3
103	все это	5	3
104	будто бы	1	3
105	есть и	1	3
106	все что	4	3
107	к людям	6	2
108	и то	2	2
109	который был	1	2
110	говорить о	4	2
111	если в	1	2
112	отношение к	1	2
113	тоже не	1	2
114	более чем	2	2
115	бытия на	1	2
116	человеческого бытия	1	2
117	все же	1	2
118	но в	3	2
119	со своей	1	2
120	т д	2	2
121	о которой	1	2
122	на этом	1	2
123	оно не	3	2
124	не будет	2	2
125	не с	2	2
126	лишь в	3	2
127	от которого	3	2
128	эти люди	2	2
129	и было	1	2
130	и тогда	2	2
131	жизни с	1	2
132	что я	3	2
133	из нас	1	2
134	того как	1	2
135	одна из	2	2
136	не по	1	2
137	они и	2	2
138	как мы	1	2
139	людей в	3	2
140	роль в	1	2
141	и опять	1	2
142	и внешней	1	2
143	жизни не	1	2
144	быть личностью	2	2
145	любви к	1	2
146	один из	2	2
147	себя с	1	2
148	идет по	1	2
149	ли он	1	2
150	теперь в	1	2
151	же и	1	2
152	в виде	1	2
153	его и	2	2
154	потребность в	1	2
155	вовсе не	1	2
156	ее на	1	2
157	еще и	1	2
158	себя и	1	2
159	что не	4	2
160	жизнь в	1	2
161	нет ничего	3	2
162	вместе с	1	2
163	что личность	1	2
164	в духе	2	2
165	с такой	1	2
166	и от	1	2
167	и для	3	2
168	в двух	1	2
169	потому что	4	2
170	хотя бы	3	2
171	давно уже	2	2
172	личности и	3	2
173	и эта	1	2
174	тайны и	1	2
175	в роли	1	2
176	эта новая	1	1
177	дел и	1	1
178	по закону	1	1
179	свою личность	4	1
180	в сердце	1	1
181	любовь не	2	1
182	к небытию	4	1
183	которой так	1	1
184	и так	1	1
185	личности то	1	1
186	мы не	2	1
187	о людях	1	1
188	истины и	1	1
189	от любви	1	1
190	же ты	3	1
191	не была	1	1
192	в будущем	1	1
193	кто же	1	1
194	смерть никогда	1	1
195	снисхождение к	1	1
196	идет за	1	1
197	он был	1	1
198	со словами	1	1
199	бы то	1	1
200	во всех	3	1
201	природы и	1	1
202	и стало	1	1
203	к богу	8	1
204	его во	3	1
205	себе и	1	1
206	не просто	1	1
207	нет и	2	1
208	и чем	1	1
209	во что	1	1
210	окончательно в	1	1
211	и нет	1	1
212	хотя и	5	1
213	и счастье	1	1
214	его к	2	1
215	от этого	3	1
216	от своей	2	1
217	и говорит	1	1
218	в которой	1	1
219	счастья и	1	1
220	все эти	3	1
221	его ограниченности	1	1
222	человеке и	1	1
223	ничего и	2	1
224	личности но	1	1
225	по словам	1	1
226	ненависти и	2	1
