N	4gram	Bakhtin_Pr_2	Analitik
1	в то же время	5	3
2	в том что он	1	2
3	дело в том что	1	2
4	рассказчика слово здесь двуголосое	1	1
5	если бы он и	1	1
6	сама по себе еще	1	1
7	по крайней мере не	1	1
8	из этих трех случаев	1	1
9	в той или иной	3	1
10	по себе еще не	2	1
11	мы оставляем в стороне	1	1
12	в слове рассказчика слово	1	1
13	но в таком случае	1	1
14	о своей любви к	1	1
15	как если бы он	1	1
16	из уст в уста	1	1
17	в каждом из этих	1	1
18	слове рассказчика слово здесь	1	1
19	каждом из этих трех	1	1
