N	3gram	Losev_Dial_1	Stilisti
1	в то же	4	9
2	то же время	4	7
3	для того чтобы	1	7
4	с точки зрения	12	5
5	и то же	4	4
6	то же самое	1	4
7	одно и то	4	4
8	с самого начала	1	4
9	той или иной	3	4
10	на самом деле	2	3
11	то или иное	2	3
12	в конце концов	3	3
13	но все же	1	3
14	или хотя бы	2	2
15	та же самая	1	2
16	и той же	1	2
17	и в то	2	2
18	как мы увидим	1	2
19	не было бы	2	2
20	в этом отношении	2	2
21	может показаться что	1	2
22	только потому что	3	2
23	но в то	1	2
24	на первый взгляд	1	2
25	все больше и	1	2
26	не может быть	3	2
27	есть не что	1	2
28	не что иное	1	2
29	связи с этим	1	2
30	о том что	2	2
31	что иное как	1	2
32	можно сказать что	3	2
33	больше и больше	1	2
34	в связи с	1	2
35	к тому что	2	2
36	одной и той	1	2
37	тех или иных	1	2
38	то все же	1	1
39	и тому же	1	1
40	в голову не	1	1
41	по себе не	5	1
42	не в самом	1	1
43	и ни от	1	1
44	более или менее	3	1
45	с их точки	1	1
46	и чаще всего	1	1
47	их точки зрения	1	1
48	в самом деле	1	1
49	и в особенности	1	1
50	и в отношении	1	1
51	не является ли	1	1
52	как раз и	1	1
53	до сих пор	2	1
54	если же он	1	1
55	и та же	2	1
56	и как в	1	1
57	несмотря на свою	1	1
58	можно было бы	4	1
59	внутренним и внешним	1	1
60	по крайней мере	4	1
61	конечно это не	1	1
62	отнюдь не является	1	1
63	жизни и в	1	1
64	которого она должна	1	1
65	так а не	1	1
66	и от этого	2	1
67	именно так и	1	1
68	в качестве примера	2	1
69	а не иначе	1	1
70	становится совершенно ясным	1	1
71	и в этом	3	1
72	по сравнению с	2	1
73	тем не менее	1	1
74	по большей части	1	1
75	но даже и	1	1
76	тех или других	2	1
77	иметь в виду	3	1
78	как таковой не	1	1
79	в виду что	1	1
80	одна и та	2	1
81	и в голову	1	1
82	который является как	1	1
83	без сновидений и	1	1
84	что это значит?	1	1
85	же самое и	1	1
86	содержит в себе	3	1
87	если мы будем	1	1
88	ничто не мешает	2	1
89	она не дана	1	1
90	между внутренним и	1	1
91	само по себе	5	1
92	между тем в	1	1
93	хотя бы в	1	1
94	ни в какой	1	1
95	мы должны поставить	1	1
96	это мы должны	1	1
97	не существует и	1	1
98	с другой стороны	4	1
99	только в том	1	1
100	содержание и смысл	1	1
101	та или иная	3	1
102	том что такое	1	1
103	мы уже знаем	1	1
104	в том что	7	1
105	не нуждается в	3	1
106	к одному и	1	1
107	одному и тому	1	1
108	быть может и	1	1
