N	2gram	Medvedev_I_1	Istorich
1	и в	1	24
2	что в	2	13
3	в этом	2	12
4	а в	1	10
5	с другой	1	9
6	другой стороны	1	8
7	все это	1	8
8	в первую	1	7
9	он не	2	6
10	того что	1	6
11	тем что	1	6
12	ничего не	2	5
13	так и	1	5
14	по существу	1	4
15	никогда не	1	4
16	то и	1	4
17	и не	2	4
18	в них	1	3
19	не случайно	1	3
20	после смерти	1	3
21	следующим образом	1	3
22	к отцу	1	2
23	того же	1	2
24	все эти	1	2
25	и тот	1	2
26	вплоть до	1	2
27	в основе	1	2
28	как только	1	2
29	все ясно	1	2
30	что при	1	2
31	с героем	1	2
32	не так	1	2
33	и др	1	2
34	видит в	1	2
35	а если	1	2
36	и о	1	2
37	не остается	1	1
38	свою жену	1	1
39	бы что	2	1
40	я не	1	1
41	по отношению	1	1
42	мы стали	1	1
43	не удовлетворял	1	1
44	в целом	1	1
45	какую роль	1	1
46	них не	1	1
47	а по	1	1
48	когда его	1	1
49	автора и	1	1
50	и без	1	1
51	он с	1	1
52	о ней	1	1
53	доказать что	1	1
54	в руки	1	1
55	должен быть	2	1
56	и сам	1	1
57	против царя	1	1
58	во многом	1	1
59	и с	3	1
60	если бы	1	1
61	и та	1	1
62	чтобы доказать	1	1
63	и задача	1	1
64	а также	1	1
65	у всех	1	1
66	жизни и	1	1
67	еще одной	1	1
68	не дает	1	1
69	очевидно что	1	1
70	для того	1	1
71	а с	1	1
72	от этого	1	1
73	то получается	1	1
74	в эту	1	1
75	только что	1	1
76	отношению к	1	1
