N	3gram	Vygotskiy__5	UchenyiS
1	не может быть	3	4
2	по нашему мнению	1	3
3	с другой стороны	2	3
4	в то же	1	3
5	в этой области	1	3
6	не могут быть	1	2
7	в самом деле	2	2
8	в этом смысле	1	2
9	то же самое	4	2
10	до сих пор	3	2
11	в этом отношении	5	2
12	в том что	11	2
13	и то что	2	2
14	и в частности	2	2
15	тех или иных	1	2
16	чем то что	1	1
17	больше чем то	1	1
18	нам представляется что	1	1
19	это было бы	1	1
20	с другом не	1	1
21	более или менее	1	1
22	как нам представляется	1	1
23	имеем в виду	1	1
24	одним из самых	1	1
25	связанные с проблемой	1	1
26	в этом случае	3	1
27	на первый план	1	1
28	сам по себе	1	1
29	же самое что	2	1
30	в той же	2	1
31	является одним из	1	1
32	само по себе	2	1
33	в первую очередь	1	1
34	не было бы	1	1
35	нас до сих	1	1
36	и что все	1	1
37	смысле можно сказать	1	1
38	можно сказать что	5	1
39	мы имеем в	1	1
40	при таком понимании	1	1
41	у нас до	1	1
42	друг с другом	7	1
43	а не только	1	1
44	они относятся к	1	1
45	с одной стороны	3	1
