N	2gram	Potebnia_M_4	Vladivir
1	и в	23	30
2	в этом	23	20
3	то что	29	20
4	у него	1	19
5	и не	18	18
6	в том	23	18
7	и с	4	14
8	же с	2	13
9	что он	4	13
10	не только	10	12
11	том что	12	12
12	там же	3	12
13	что в	17	12
14	как мы	2	11
15	в его	5	11
16	а в	5	11
17	сказать что	8	11
18	и вообще	2	10
19	а также	1	10
20	не было	12	10
21	в с	1	10
22	и даже	2	10
23	все же	1	9
24	кроме того	3	9
25	было бы	8	9
26	не в	11	9
27	в то	4	9
28	не может	11	9
29	для него	5	9
30	потому что	33	9
31	в своем	8	8
32	но в	8	8
33	что же	5	8
34	не мог	1	8
35	связи с	3	8
36	но и	11	8
37	в связи	1	8
38	вместе с	6	8
39	то есть	34	7
40	точки зрения	4	7
41	никогда не	3	7
42	не менее	5	7
43	может быть	26	7
44	а не	12	7
45	как это	1	7
46	между прочим	3	7
47	для нас	14	7
48	и все	4	7
49	хотя и	5	6
50	и к	6	6
51	в себе	14	6
52	об этом	2	6
53	тем не	4	6
54	и его	2	6
55	у нас	2	6
56	то время	1	6
57	только в	15	6
58	всяком случае	3	6
59	а именно	4	6
60	прежде всего	1	6
61	жизни и	1	6
62	во всяком	5	6
63	того же	1	5
64	и то	5	5
65	и я	2	5
66	с этим	7	5
67	то в	3	5
68	все эти	3	5
69	при этом	15	5
70	же касается	1	5
71	как и	14	5
72	в своей	1	5
73	в котором	4	5
74	по себе	11	5
75	так как	14	5
76	так и	6	5
77	с ним	5	5
78	другими словами	8	5
79	и что	7	5
80	того что	14	5
81	тот же	2	5
82	так что	5	5
83	но что	2	5
84	в течение	2	5
85	как бы	5	5
86	все это	5	5
87	из этого	2	5
88	с с	1	4
89	то же	14	4
90	той же	3	4
91	я не	2	4
92	то это	8	4
93	в ней	2	4
94	и на	3	4
95	что его	2	4
96	отношение к	2	4
97	в которой	6	4
98	что это	7	4
99	в этой	1	4
100	и если	3	4
101	на его	3	4
102	в нем	7	4
103	он не	2	4
104	его в	4	4
105	это было	2	4
106	и мы	5	4
107	мы с	1	4
108	в этих	3	4
109	по крайней	5	4
110	мы должны	2	4
111	не есть	9	4
112	и о	4	4
113	эти последние	1	4
114	можно сказать	4	4
115	судить по	2	4
116	о том	8	4
117	конечно не	2	4
118	вовсе не	7	4
119	для меня	10	4
120	крайней мере	5	4
121	со стороны	3	4
122	именно в	3	4
123	так же	4	4
124	в это	2	4
125	но это	3	4
126	на этот	2	4
127	по поводу	4	4
128	это время	1	4
129	можно говорить	1	3
130	нам кажется	2	3
131	что можно	1	3
132	быть в	1	3
133	во всех	1	3
134	но не	1	3
135	не то	5	3
136	отличие от	1	3
137	его на	1	3
138	как в	7	3
139	и как	2	3
140	так или	2	3
141	из этих	2	3
142	им в	1	3
143	таким образом	24	3
144	те же	3	3
145	должен был	1	3
146	только одно	1	3
147	в них	3	3
148	должно быть	5	3
149	в отношении	1	3
150	в следующем	1	3
151	с точки	3	3
152	что я	11	3
153	но он	1	3
154	том же	2	3
155	же время	3	3
156	к ней	2	3
157	в области	2	3
158	когда мы	6	3
159	и вполне	2	3
160	и это	2	3
161	необходимо прибавить	1	3
162	что и	7	3
163	уже не	3	3
164	я в	2	3
165	уже в	5	3
166	в виде	2	3
167	а это	1	3
168	сказать о	1	3
169	здесь мы	2	3
170	даже и	3	3
171	или иначе	2	3
172	дело в	1	3
173	под влиянием	1	3
174	нет ничего	3	3
175	из трех	1	3
176	в данном	4	3
177	да и	4	3
178	и для	2	3
179	еще более	2	3
180	тем более	5	3
181	хотя бы	4	3
182	в свою	2	3
183	в таком	4	3
184	точно так	2	3
185	это в	1	3
186	также что	1	2
187	всем и	1	2
188	сам по	4	2
189	этого последнего	2	2
190	но тем	2	2
191	и есть	3	2
192	и до	3	2
193	что эти	3	2
194	мы уже	3	2
195	его не	1	2
196	что если	6	2
197	есть нечто	5	2
198	не вполне	2	2
199	ему в	1	2
200	языке в	1	2
201	есть для	5	2
202	не был	1	2
203	только после	1	2
204	признаки и	1	2
205	по своему	2	2
206	только тогда	5	2
207	и хотя	3	2
208	есть его	1	2
209	в самом	3	2
210	еще один	1	2
211	во многих	2	2
212	на то	7	2
213	человек не	2	2
214	мысли и	7	2
215	вера в	1	2
216	же это	1	2
217	том чтобы	1	2
218	и сам	1	2
219	и по	3	2
220	на этом	1	2
221	но все	1	2
222	это значит	1	2
223	и может	4	2
224	на все	1	2
225	заключается в	1	2
226	это не	7	2
227	он все	2	2
228	с тем	7	2
229	мы видели	1	2
230	говорится о	2	2
231	мы не	8	2
232	на первый	1	2
233	с нами	1	2
234	и при	2	2
235	в их	1	2
236	их в	3	2
237	даже в	2	2
238	с которой	1	2
239	она не	2	2
240	не имеет	5	2
241	на котором	4	2
242	тогда когда	8	2
243	того как	6	2
244	и притом	2	2
245	к этим	1	2
246	с и	2	2
247	в самых	1	2
248	само по	5	2
249	того чтобы	4	2
250	того и	1	2
251	казалось бы	1	2
