N	2gram	Vygotskiy__2	Analitik
1	в этом	13	18
2	художественного впечатления	2	17
3	не только	12	16
4	литературного произведения	1	16
5	и в	32	16
6	в частности	3	16
7	так и	3	15
8	как и	10	14
9	но и	10	12
10	и не	10	12
11	том что	21	12
12	в том	37	12
13	иначе говоря	4	11
14	в качестве	1	11
15	при этом	13	10
16	могут быть	4	10
17	а не	7	10
18	как бы	6	10
19	в этой	6	9
20	ничего не	4	9
21	и даже	5	9
22	то есть	21	9
23	в целом	4	8
24	состоит в	3	8
25	в данном	4	8
26	отнюдь не	5	8
27	в игре	2	7
28	к тому	7	7
29	о том	6	7
30	в себе	2	7
31	то что	21	7
32	в самом	12	6
33	и на	5	6
34	но в	3	6
35	может быть	18	6
36	с другой	3	6
37	как это	4	6
38	и к	3	5
39	данном случае	4	5
40	с одной	1	5
41	говорит о	2	5
42	того же	2	4
43	по преимуществу	1	4
44	в сущности	7	4
45	столь же	4	4
46	но не	2	4
47	за пределы	1	4
48	было написано	1	4
49	как в	9	4
50	в себя	1	4
51	сюжет и	1	4
52	он в	3	4
53	тому же	1	4
54	нашего времени	1	4
55	на этом	3	4
56	то же	13	4
57	не с	1	4
58	и тем	4	4
59	тем самым	1	4
60	не любит	2	4
61	для него	1	4
62	точки зрения	17	4
63	не в	8	4
64	в конце	3	4
65	только не	1	4
66	и является	1	4
67	не менее	8	4
68	к игре	2	4
69	можно сказать	1	4
70	во всех	3	4
71	только в	7	4
72	и его	7	4
73	уже не	1	4
74	в сознании	4	4
75	не так	2	4
76	как раз	5	4
77	игры и	1	4
78	одной стороны	1	4
79	не может	17	4
80	и смерти	1	4
81	этом случае	1	4
82	о его	1	4
83	все это	5	4
84	и то	3	3
85	на две	1	3
86	едва ли	4	3
87	в их	3	3
88	в конечном	3	3
89	мы имеем	4	3
90	ответ на	2	3
91	что касается	1	3
92	в нашем	1	3
93	на его	2	3
94	однако при	1	3
95	ключ к	1	3
96	и читателя	1	3
97	и если	1	3
98	и сам	4	3
99	его от	2	3
100	подобно тому	2	3
101	несмотря на	4	3
102	в эту	1	3
103	место в	2	3
104	не столько	1	3
105	тем не	4	3
106	по крайней	1	3
107	никогда не	9	3
108	казалось бы	2	3
109	имеем дело	1	3
110	сводится к	2	3
111	тем что	9	3
112	как будто	7	3
113	этом отношении	5	3
114	что на	4	3
115	эстетического объекта	2	3
116	как мы	1	3
117	приводит к	1	3
118	можно было	7	3
119	в результате	1	3
120	если бы	6	3
121	и т.д	1	3
122	того или	3	3
123	что и	17	3
124	крайней мере	1	3
125	и все	4	3
126	с ними	1	3
127	так что	3	3
128	из них	4	3
129	только на	5	3
130	со стороны	1	3
131	именно в	1	3
132	было бы	11	3
133	и за	1	3
134	или иного	2	3
135	тому как	3	3
136	в первой	1	3
137	этого слова	1	3
138	сюжета и	1	3
139	или в	1	3
140	бы в	1	3
141	прежде всего	1	3
142	а в	4	3
143	в действительности	4	3
144	по поводу	1	3
145	речь идет	1	2
146	отношения к	1	2
147	таком случае	1	2
148	художественного произведения	5	2
149	и до	4	2
150	из его	1	2
151	той же	8	2
152	а как	1	2
153	и он	3	2
154	еще не	2	2
155	конечном счете	3	2
156	в общем	3	2
157	отличие от	2	2
158	как говорит	3	2
159	себе не	1	2
160	в противоположность	1	2
161	на то	11	2
162	вследствие этого	1	2
163	вообще не	1	2
164	не следует	1	2
165	он не	6	2
166	что она	16	2
167	таким образом	21	2
168	в одну	1	2
169	что все	9	2
170	же не	1	2
171	это было	3	2
172	этом смысле	1	2
173	по себе	12	2
174	он же	1	2
175	в ритме	1	2
176	он и	1	2
177	жизни но	1	2
178	еще в	1	2
179	в этих	2	2
180	в своей	3	2
181	в котором	1	2
182	с точки	10	2
183	в отличие	1	2
184	стало быть	1	2
185	но эта	2	2
