N	2gram	Tiupa_Narr_1	EvropaiE
1	и в	11	37
2	в пределах	2	25
3	точки зрения	5	23
4	что в	3	21
5	не только	31	18
6	с точки	1	17
7	в то	4	16
8	то же	8	15
9	хотя бы	2	15
10	отношении к	1	15
11	в своем	3	14
12	но в	7	14
13	же время	4	14
14	в качестве	14	14
15	но и	27	14
16	и не	23	14
17	в этом	12	12
18	в их	1	11
19	в области	2	11
20	в том	8	11
21	с и	1	10
22	так и	5	10
23	отнюдь не	2	9
24	в себе	6	9
25	только в	12	9
26	прежде всего	4	9
27	не может	8	9
28	так же	1	9
29	в ее	1	8
30	в своей	5	8
31	к тому	6	8
32	между тем	3	8
33	с одной	1	8
34	одной стороны	1	8
35	также и	3	7
36	а также	6	7
37	того что	4	7
38	так как	1	7
39	с другой	2	7
40	как и	13	7
41	по своему	2	7
42	может быть	15	6
43	и на	5	6
44	во всех	1	6
45	на то	2	6
46	то есть	9	6
47	том что	7	6
48	того чтобы	4	6
49	вслед за	1	6
50	для того	3	6
51	в последние	1	6
52	и даже	2	6
53	как бы	6	6
54	то что	9	6
55	же как	1	5
56	столь же	5	5
57	но не	4	5
58	не в	6	5
59	и по	1	5
60	тем самым	5	5
61	как мы	2	5
62	одной из	1	5
63	со стороны	8	5
64	в частности	14	5
65	и потому	1	5
66	в той	2	5
67	то в	4	4
68	мы не	3	4
69	но даже	1	4
70	в некотором	1	4
71	в ней	4	4
72	в самом	6	4
73	во многих	1	4
74	то ни	1	4
75	в предыдущем	1	4
76	даже в	1	4
77	не имеет	2	4
78	и притом	2	4
79	к ней	1	4
80	в перспективе	1	4
81	той или	5	4
82	бы то	1	4
83	по себе	4	4
84	можно сказать	5	4
85	тем более	1	4
86	именно в	3	4
87	на всем	1	4
88	ни было	1	4
89	само по	1	4
90	или иной	4	4
91	не на	1	4
92	мира в	4	4
93	как это	3	4
94	для нас	1	4
95	сказать что	2	4
96	в сфере	2	3
97	идет о	3	3
98	из всех	1	3
99	на себя	4	3
100	и со	1	3
101	что согласно	1	3
102	того же	1	3
103	как в	4	3
104	когда он	1	3
