1	и в	20	39
2	может быть	12	37
3	и его	5	33
4	не только	15	24
5	и не	8	22
6	но и	9	21
7	не может	6	20
8	в нем	2	19
9	в этом	24	16
10	все это	1	16
11	так и	5	15
12	а не	7	14
13	отличие от	2	13
14	как в	5	13
15	слова в	9	13
16	в процессе	27	13
17	во всех	1	12
18	в отличие	2	12
19	в истории	10	11
20	слово в	6	11
21	не в	4	9
22	и с	4	9
23	точки зрения	24	8
24	словом и	4	8
25	себя в	3	8
26	слова и	5	8
27	прежде всего	2	8
28	таким образом	25	8
29	для него	2	7
30	могут быть	7	7
31	при этом	12	7
32	с ним	1	7
33	и потому	1	7
34	как бы	7	7
35	никогда не	5	7
36	в него	2	7
37	еще не	2	7
38	в его	11	7
39	и даже	1	7
40	в этих	3	7
41	как мы	13	7
42	так сказать	1	6
43	все эти	5	6
44	в сущности	4	6
45	языка в	1	6
46	но в	3	6
47	этом случае	3	6
48	но не	3	6
49	в слове	2	6
50	как и	9	6
51	и к	5	6
52	все же	5	6
53	в своем	4	6
54	конечно не	1	5
55	не могут	3	5
56	и их	1	5
57	одной стороны	9	5
58	например в	1	5
59	для нас	4	5
60	уже не	1	5
61	и для	4	5
62	один из	3	5
63	том что	35	5
64	с одной	9	5
65	в плане	1	5
66	с ними	1	5
67	с другой	12	5
68	слово и	2	5
69	и слова	1	5
70	по себе	1	5
71	со словом	2	5
72	в том	42	5
73	но все	1	5
74	мышления и	14	5
75	только в	10	5
76	это не	5	5
77	связанные с	1	4
78	что оно	4	4
79	зависимости от	2	4
80	входит в	2	4
81	то же	16	4
82	здесь не	2	4
83	его не	1	4
84	во всем	3	4
85	ни в	3	4
86	для этого	1	4
87	слова к	3	4
88	в зависимости	1	4
89	даже и	1	4
90	в таком	2	4
91	его в	6	4
92	с другими	1	4
93	словом в	1	4
94	в той	2	4
95	а в	2	4
96	и других	3	4
97	в основном	1	4
98	отношению к	1	4
99	в основе	17	4
100	не менее	3	4
101	отношении к	1	4
102	в то	1	4
103	и на	6	4
104	в отношении	10	4
105	с помощью	31	4
106	дело с	1	4
107	в смысле	4	4
108	эти формы	1	4
109	по отношению	1	4
110	слова не	3	4
111	слова с	1	4
112	так как	10	4
113	что и	9	3
114	ту же	2	3
115	с точки	11	3
116	может иметь	1	3
117	к нему	2	3
118	этом отношении	7	3
119	перед нами	5	3
120	как это	9	3
121	не столько	1	3
122	во всяком	4	3
123	если она	1	3
124	сказать что	6	3
125	человека и	1	3
126	что в	19	3
127	действует в	1	3
128	связано с	1	3
129	и как	9	3
130	стороны и	2	3
131	должна быть	2	3
132	в ней	2	3
133	как для	1	3
134	между словом	2	3
135	слов и	1	3
136	той же	6	3
137	у него	2	3
138	а также	2	3
139	собственном смысле	7	3
140	между тем	9	3
141	точку зрения	1	3
142	речи и	1	3
143	связи с	3	3
144	из себя	1	3
145	в свою	2	3
146	в собственном	7	3
147	с различными	1	3
148	но это	1	3
149	на этом	3	3
150	в чем	3	3
151	и от	3	3
152	говорить о	1	3
153	всех его	1	3
154	здесь в	1	3
155	одновременно и	1	3
156	и часто	1	3
157	в различных	1	2
158	оно может	3	2
159	но прежде	1	2
160	в связи	3	2
161	корнями в	1	2
162	а вовсе	1	2
163	в языке	2	2
164	на его	3	2
165	а просто	1	2
166	в их	12	2
167	которые в	4	2
168	тот факт	1	2
169	того как	2	2
170	хотя и	1	2
171	и между	6	2
172	и т.п	2	2
173	уже сказано	4	2
174	в виде	3	2
175	свою очередь	2	2
176	ним и	1	2
177	и здесь	2	2
178	того чтобы	7	2
179	мы уже	5	2
180	он стремится	1	2
181	новое слово	2	2
182	точка зрения	1	2
183	вместе с	8	2
184	является проблема	1	2
185	они не	2	2
186	или на	1	2
187	если оно	1	2
188	так в	1	2
189	в историческом	2	2
190	еще более	1	2
191	также и	2	2
192	от нас	1	2
193	может стать	2	2
194	и слово	1	2
195	слово слово	1	2
196	он не	1	2
197	именно в	3	2
198	и другие	9	2
199	и другим	1	2
200	каждом шагу	6	2
201	те же	6	2
202	с этим	5	2
203	что он	6	2
204	в одном	1	2
205	этот второй	1	2
206	не все	1	2
207	даже в	2	2
208	в форме	1	2
209	или в	1	2
210	то что	15	2
211	на нем	2	2
212	как уже	4	2
213	в результате	8	2
