N	3gram	Tiupa_Anal_2	EvropaiC
1	в том что	6	16
2	по отношению к	4	10
3	друг с другом	1	9
4	с точки зрения	2	8
5	а между тем	1	7
6	более или менее	1	7
7	на то что	2	7
8	в самом деле	1	5
9	в этом случае	4	4
10	к тому же	4	4
11	с другой стороны	2	4
12	не может быть	1	4
13	о том что	6	4
14	тем не менее	3	4
15	и то что	2	3
16	в данном случае	5	3
17	так или иначе	1	3
18	в связи с	1	3
19	в целом ряде	1	3
20	заключается в том	1	3
21	не в состоянии	1	2
22	только то что	1	2
23	то же время	2	2
24	несмотря на то	1	2
25	из того же	1	2
26	с одной стороны	4	2
27	в нашем случае	1	2
28	во всех этих	1	2
29	как и в	3	2
30	в свою очередь	1	2
31	ко всему этому	1	2
32	в то же	2	2
33	в данный момент	1	1
34	и то же	1	1
35	состоит именно в	1	1
36	а затем и	1	1
37	того что его	1	1
38	никак не может	1	1
39	то же самое	1	1
40	дело тут не	1	1
41	из них в	1	1
42	это не так	1	1
43	между тем как	1	1
44	и если бы	1	1
45	том или ином	2	1
46	это имеет место	1	1
47	точно так же	1	1
48	по крайней мере	3	1
49	одно и то	1	1
50	вместе с ними	1	1
51	в равной мере	1	1
52	тут не в	1	1
53	а как бы	1	1
54	в том или	2	1
55	самое что и	1	1
56	в противоречие с	1	1
57	свидетельствует о том	1	1
58	но и его	1	1
59	ставит себя на	1	1
60	должна была бы	1	1
61	состоит в том	4	1
62	в борьбу с	1	1
63	до некоторой степени	1	1
64	приводит к тому	1	1
65	в тех случаях	1	1
66	а в том	1	1
67	себя на место	1	1
68	же самое что	1	1
69	состоит лишь в	1	1
70	то есть в	2	1
71	не только не	2	1
72	ни одна из	1	1
73	не менее в	1	1
74	и т.д в	1	1
75	которые могут быть	1	1
76	не может вполне	1	1
77	тех случаях когда	1	1
78	к тому что	1	1
79	все это делает	1	1
80	те же самые	1	1
