N	4gram	Vygotskiy__1	Myslijsy
1	но тем не менее	1	3
2	в то время как	4	3
3	звук сам по себе	1	2
4	одно и то же	2	2
5	или по крайней мере	1	2
6	в то же время	1	2
7	и та и другая	1	1
8	с другой стороны если	1	1
9	для того чтобы сделать	1	1
10	есть прежде всего средство	1	1
11	одной и той же	2	1
12	в том что он	1	1
13	одном и том же	1	1
14	то время как в	2	1
15	в одном и том	1	1
16	с одной стороны и	1	1
17	дело в том что	1	1
18	в том виде в	1	1
19	том виде в каком	1	1
20	ничем не связанных между	1	1
