N	3gram	Losev_Dial_2	Sotsiolo
1	в том что	6	2
2	дело не в	1	2
3	но ведь это	2	2
4	в конце концов	1	2
5	не в том	1	2
6	сказать и о	1	1
7	это и есть	1	1
8	их между собою	1	1
9	в том и	1	1
10	и в этом	1	1
11	не может не	3	1
12	только то что	4	1
13	по крайней мере	9	1
14	то же самое	2	1
15	о том как	1	1
16	именно в том	1	1
17	сама по себе	7	1
18	по самому существу	1	1
19	в то же	3	1
20	это вовсе не	2	1
21	это дает нам	1	1
22	и стало быть	4	1
23	самому существу своему	1	1
24	в связи с	4	1
25	ни на что	1	1
26	то же время	4	1
27	главным образом в	1	1
28	и в то	1	1
29	с одной стороны	1	1
30	во всяком случае	2	1
31	ведь это же	1	1
