N	3gram	Tiupa_Lite_3	Sovremen
1	с точки зрения	3	5
2	не может быть	3	4
3	тем не менее	1	2
4	в отличие от	5	2
5	в свою очередь	1	2
6	то же самое	2	2
7	что иное как	1	1
8	одной стороны и	2	1
9	с жизнью на	1	1
10	в связи с	1	1
11	по отношению к	4	1
12	на самом деле	1	1
13	а не только	1	1
14	то же время	7	1
15	по аналогии с	1	1
16	бы то ни	2	1
17	но отнюдь не	1	1
18	в конечном счете	1	1
19	как он выражается	1	1
20	в самом деле	2	1
21	той или иной	2	1
22	но уже в	1	1
23	может быть только	1	1
24	в то же	7	1
25	это как бы	1	1
26	его в ту	1	1
27	не что иное	1	1
28	в такого рода	2	1
29	в том что	4	1
30	в данном случае	4	1
31	может быть в	1	1
32	и у нас	1	1
33	при этом с	1	1
34	то ни было	2	1
35	с одной стороны	4	1
