N	3gram	Bakhtin_fo_1	Freidism
1	с точки зрения	2	11
2	по отношению к	3	8
3	во всяком случае	1	7
4	не может быть	3	7
5	в самом деле	1	6
6	и прежде всего	2	5
7	в зависимости от	1	4
8	то же время	9	4
9	в то же	6	4
10	в данном случае	1	4
11	как мы уже	8	4
12	в последнем счете	1	4
13	теперь мы должны	1	3
14	для того чтобы	5	3
15	узком смысле слова	1	3
16	в свою очередь	1	3
17	с самого начала	2	3
18	в чем не	2	2
19	до сих пор	3	2
20	в отличие от	2	2
21	может быть и	2	2
22	все снова и	1	2
23	но в то	1	2
24	так и в	1	2
25	не могут быть	1	2
26	в его целом	2	2
27	все то что	2	2
28	в этом отношении	3	2
29	ни в чем	2	2
30	в ее целом	2	2
31	с одной стороны	2	2
32	мы уже указывали	4	2
33	мы уже знаем	1	2
34	снова и снова	1	2
35	в высшей степени	1	2
36	их правда не	1	1
37	том что в	1	1
38	и может быть	1	1
39	большую роль в	1	1
40	во всех видах	1	1
41	точка зрения на	1	1
42	мы видим в	1	1
43	и ее удовлетворением	1	1
44	или хотя бы	1	1
45	прежде всего тот	1	1
46	к себе самому	4	1
47	между собой в	1	1
48	философских системах и	1	1
49	а вовсе не	1	1
50	последующей жизни но	1	1
51	вообще не может	1	1
52	равно как и	2	1
53	всей его жизни	1	1
54	во всей последующей	1	1
55	в этом случае	1	1
56	вещи и явления	1	1
57	как раз и	2	1
58	вполне понятно что	4	1
59	они не могут	1	1
60	о которой мы	1	1
61	мы находим в	1	1
62	единства и целостности	1	1
63	его жизни по	1	1
64	до известной степени	1	1
65	не умирает и	1	1
66	друг на друга	2	1
67	в себе и	1	1
68	во всех этих	1	1
69	со всех сторон	1	1
70	мы должны еще	1	1
71	его в основном	1	1
72	и до конца	2	1
73	его таким образом	1	1
74	на этой почве	1	1
75	же что и	2	1
76	из того же	1	1
77	таким образом и	1	1
78	отличает его от	1	1
79	но вместе с	1	1
80	в себя и	1	1
81	но она не	1	1
82	а также и	2	1
83	быть и речи	1	1
84	все без исключения	1	1
85	по сравнению с	2	1
86	приходит к выводу	1	1
87	если мы проследим	1	1
88	одна из разновидностей	1	1
89	до них и	1	1
90	навлекает на себя	1	1
91	по преимуществу его	1	1
92	как в самом	1	1
93	бросается в глаза	1	1
94	высшей степени существенных	1	1
95	и все другие	2	1
96	и все же	1	1
97	сих пор не	1	1
98	то увидим что	1	1
99	смысле слова и	1	1
100	имеем в виду	1	1
101	в то время	3	1
102	мы уже сказали	2	1
103	о том что	1	1
104	достаточно указать на	1	1
105	к выводу что	1	1
106	человека так и	2	1
107	той или иной	2	1
108	но все же	2	1
109	или во всяком	1	1
110	мы имеем в	1	1
111	как мы видим	2	1
112	смысле этого слова	1	1
113	то время когда	1	1
114	которой мы говорили	1	1
115	своей энергии и	1	1
116	значение чем в	1	1
117	во всех его	1	1
118	в том что	2	1
119	и все его	1	1
