N	3gram	Medvedev_V_1	Problemy
1	до сих пор	1	8
2	не может быть	8	8
3	и не может	2	7
4	в то же	5	5
5	по отношению к	7	5
6	то же время	5	5
7	в том числе	2	4
8	в самом деле	1	4
9	как и все	1	4
10	с другой стороны	8	3
11	имеем в виду	1	3
12	более или менее	6	3
13	том числе и	2	3
14	в этом смысле	1	2
15	в братьях карамазовых	1	2
16	о том что	3	2
17	большей или меньшей	3	2
18	во всех его	2	2
19	но в то	1	2
20	как если бы	1	2
21	в том что	5	2
22	можно сказать что	4	2
23	или меньшей степени	2	2
24	в одном из	3	2
25	той или иной	1	2
26	сих пор не	1	2
27	о том же	3	2
28	сама по себе	1	2
29	нет и не	1	2
30	но и в	1	2
31	сами по себе	1	2
32	можно было бы	2	2
33	на этот вопрос	1	2
34	в большей или	2	2
35	это вовсе не	1	2
36	хотя и не	1	2
37	хотя оно и	1	1
38	так или иначе	1	1
39	с одной стороны	2	1
40	ними нет и	1	1
41	в том же	1	1
42	что мы имеем	1	1
43	так же как	1	1
44	одно и то	1	1
45	дело не в	1	1
46	но между ними	1	1
47	он сам по	1	1
48	в письме к	8	1
49	по сравнению с	1	1
50	и во всех	1	1
51	в художественном творчестве	5	1
52	одну и ту	1	1
53	один из его	1	1
54	и в то	3	1
55	в точном смысле	2	1
56	то это вовсе	1	1
57	время работы над	1	1
58	в конце концов	2	1
59	если бы он	1	1
60	между собою и	1	1
61	может быть и	1	1
62	таким образом и	1	1
63	иметь в виду	2	1
64	и в их	1	1
65	к тому что	3	1
66	бы не было	2	1
67	хотя бы и	5	1
68	все это не	1	1
69	в любой области	1	1
70	может обойтись без	1	1
71	лицом к лицу	1	1
72	как один из	1	1
73	и для достижения	1	1
74	между этими двумя	1	1
75	же как и	1	1
76	но она не	1	1
77	и через это	2	1
78	не в этом	1	1
79	как мы знаем	1	1
80	сюда относится например	1	1
81	в силу самой	1	1
82	и то же	1	1
83	во время работы	1	1
84	не только в	2	1
85	не может обойтись	1	1
86	и ту же	1	1
87	в связи с	3	1
88	и вместе с	1	1
89	может быть даже	1	1
90	между ними нет	1	1
91	даже и не	1	1
92	у него в	1	1
93	в том или	1	1
94	в виду что	1	1
95	следует отметить что	1	1
96	все же не	1	1
97	и так или	1	1
98	а как бы	1	1
99	как он определяет	1	1
100	для него в	2	1
101	также и в	2	1
102	после того как	1	1
103	в той или	1	1
104	никогда не может	1	1
105	его роль в	1	1
106	не может не	2	1
107	еще и не	2	1
108	во всяком случае	1	1
109	и в процессе	2	1
110	в данном случае	1	1
111	одной стороны и	2	1
112	уже сама по	1	1
113	к тому же	1	1
114	а между тем	1	1
