N	3gram	Nazirov_Vr_1	Formalny
1	с точки зрения	2	14
2	не может быть	2	14
3	в то же	4	7
4	то же время	4	7
5	во всяком случае	1	6
6	с другой стороны	1	5
7	и не может	1	4
8	в связи с	3	4
9	в этом отношении	1	3
10	в том что	2	3
11	равно как и	1	2
12	в этом смысле	1	2
13	о том как	1	2
14	и в то	1	2
15	в высшей степени	1	2
16	не только не	1	2
17	тем не менее	1	2
18	в конце концов	1	2
19	в том же	1	1
20	но не менее	1	1
21	на первый план	1	1
22	но для нас	1	1
23	а следовательно и	1	1
24	это не просто	1	1
25	до сих пор	1	1
26	в это время	1	1
27	и что в	2	1
28	так же как	1	1
29	можно говорить об	1	1
30	но при этом	1	1
31	он и не	1	1
32	о том что	1	1
33	в той же	1	1
34	и все же	5	1
35	и никогда не	1	1
36	и в самом	1	1
37	на то что	1	1
38	в конце жизни	1	1
