N	2gram	Medvedev_S_1	PoTuStor
1	может быть	2	17
2	и в	3	16
3	в этом	5	9
4	таким образом	2	9
5	и только	3	9
6	прежде всего	1	9
7	и его	1	8
8	не может	1	8
9	не только	3	7
10	я и	1	6
11	конечно не	1	6
12	еще не	2	5
13	в чем	1	5
14	все эти	1	5
15	только для	1	5
16	в него	1	5
17	как бы	2	5
18	отнюдь не	1	4
19	и наконец	1	4
20	в этой	1	4
21	его в	1	4
22	все это	7	4
23	так и	1	4
24	в его	3	4
25	только в	2	4
26	но и	2	4
27	и не	1	4
28	хотя бы	1	4
29	и есть	1	3
30	и как	1	3
31	том что	2	3
32	по крайней	1	3
33	те же	1	3
34	в конечном	1	3
35	крайней мере	1	3
36	в том	5	3
37	всяком случае	1	3
38	даже не	1	3
39	в области	1	3
40	и потому	1	3
41	что в	2	3
42	в этих	1	3
43	а в	1	3
44	то что	2	3
45	между ними	1	3
46	только как	2	3
47	во всяком	1	3
48	мы не	1	2
49	и о	1	2
50	между собой	1	2
51	но как	1	2
52	конечном счете	1	2
53	за пределы	2	2
54	что это	1	2
55	но ведь	3	2
56	и по	1	2
57	то же	2	2
58	и мы	2	2
59	было бы	2	2
60	в них	1	2
61	как и	1	2
62	между собою	1	2
63	на первый	1	2
64	в своей	1	2
65	никогда не	1	2
66	что на	1	2
67	все то	1	2
68	только то	1	2
69	для этого	1	2
70	с ним	1	2
71	о том	1	2
72	для нас	3	2
73	один из	1	2
74	что он	1	2
75	у него	1	2
76	с помощью	1	2
77	в частности	2	2
78	в область	1	2
79	в систему	1	2
80	из тех	1	2
81	они не	1	2
82	науки о	1	1
83	это и	2	1
84	случае только	1	1
85	что эти	1	1
86	полагает что	1	1
87	первый план	1	1
88	столь же	1	1
89	где же	1	1
90	но не	1	1
91	в свои	1	1
92	право на	1	1
93	дает нам	1	1
94	все же	1	1
95	психологии и	1	1
96	что она	1	1
97	главным образом	2	1
98	по самому	1	1
99	но именно	1	1
100	перенес в	1	1
101	именно и	1	1
102	в мире	1	1
103	не должна	1	1
104	на все	1	1
105	различает два	1	1
106	их на	1	1
107	и благодаря	1	1
108	как совокупность	1	1
109	в смысле	2	1
110	в сущности	1	1
111	к изучению	1	1
112	ничего не	1	1
113	только когда	1	1
114	связи с	1	1
115	же самое	1	1
116	бы он	1	1
117	опираясь на	1	1
118	ни одно	1	1
119	и что	2	1
120	не место	1	1
121	эти два	1	1
122	наконец в	1	1
123	и история	1	1
124	это же	1	1
125	с одной	1	1
126	же законы	1	1
127	не дает	1	1
128	ведь это	2	1
129	наука о	1	1
130	в конце	2	1
131	вовсе не	1	1
132	и им	1	1
133	перейти к	1	1
134	с другой	1	1
135	а с	1	1
136	мы еще	1	1
137	основной вопрос	1	1
138	одной стороны	1	1
139	на этот	1	1
140	зависит от	1	1
141	в связи	1	1
142	в данном	1	1
143	правда он	1	1
144	быть не	1	1
145	построение не	1	1
146	расти и	1	1
147	она может	2	1
148	есть метод	1	1
149	мы должны	1	1
