1	по отношению к	10	19
2	не может быть	2	11
3	но отнюдь не	1	7
4	с точки зрения	10	6
5	в отличие от	1	5
6	в данном случае	1	4
7	с другой стороны	2	4
8	в этом смысле	2	3
9	тем не менее	1	3
10	можно было бы	5	3
11	в том что	19	3
12	с одной стороны	1	3
13	на самом деле	1	3
14	в самом деле	1	3
15	и во всех	1	2
16	и не может	2	2
17	не только в	1	2
18	не совпадает с	1	2
19	не могут быть	2	2
20	на первый план	1	2
21	в нашем примере	2	2
22	для того чтобы	8	2
23	совершенно не нужно	1	2
24	то же самое	6	2
25	в лучшем случае	1	2
26	мы можем говорить	1	2
27	той или иной	1	2
28	можно сказать что	6	2
29	мы имеем дело	2	2
30	и тем самым	5	2
31	в этом отношении	3	2
32	в том же	2	2
33	к тому что	7	1
34	своему значению для	1	1
35	что иное как	1	1
36	эти два момента	1	1
37	том и в	1	1
38	в равной мере	1	1
39	которое может быть	1	1
40	несмотря на то	2	1
41	оно может быть	1	1
42	именно то что	1	1
43	не может иметь	1	1
44	и как бы	1	1
45	в другом случае	1	1
46	не что иное	1	1
47	и в другом	1	1
48	его отношение к	2	1
49	в связи с	2	1
50	по аналогии с	1	1
51	сами по себе	1	1
52	где мы имеем	1	1
53	что все эти	2	1
54	и в этом	1	1
55	только в пределах	1	1
56	до того времени	1	1
57	ясно что в	1	1
58	по сравнению с	14	1
59	на фоне которых	1	1
60	тем что оно	2	1
61	которые могут быть	1	1
62	мы увидим далее	1	1
63	скажем только что	2	1
64	к выводу что	1	1
65	в то время	6	1
66	то время как	5	1
67	на один шаг	1	1
68	с помощью которого	1	1
69	схватывания предмета и	1	1
70	то что в	1	1
71	смысле этого слова	1	1
72	и в их	2	1
73	нами выше в	1	1
74	имеем дело с	1	1
75	в том и	1	1
76	не может стать	1	1
77	как мы показали	1	1
78	в том смысле	2	1
79	том смысле что	2	1
80	есть не что	1	1
81	о том как	1	1
82	не могли быть	1	1
83	на этот вопрос	2	1
84	в свою очередь	1	1
85	является как бы	2	1
86	она никогда не	1	1
87	а в других	1	1
88	по своему значению	1	1
89	включающее в себя	1	1
90	вопрос о том	1	1
91	вообще не может	1	1
92	у нас в	1	1
93	вообще не могли	1	1
94	с тем что	2	1
95	и именно в	1	1
96	в первом случае	3	1
97	на то что	4	1
98	как и в	1	1
99	как одна из	1	1
100	раз и навсегда	1	1
101	подобно тому как	1	1
102	в настоящее время	1	1
103	в этом направлении	1	1
104	до сих пор	3	1
105	до известной степени	2	1
