N	3gram	Bakhtin_KF_1	StatiiOP
1	в том что	2	11
2	не может быть	11	5
3	в этом смысле	3	4
4	с точки зрения	9	4
5	во всяком случае	1	4
6	не в том	1	3
7	то же время	2	3
8	на то что	1	3
9	в то же	2	3
10	но это не	1	3
11	то что я	2	2
12	и тем не	1	2
13	и не в	1	2
14	и в этом	3	2
15	во всех этих	2	2
16	было бы совершенно	1	2
17	между тем как	3	2
18	только тогда когда	1	2
19	к тому что	1	2
20	в том смысле	1	2
21	тем не менее	2	2
22	независимо от того	1	2
23	даже там где	1	1
24	и может быть	2	1
25	не может не	1	1
26	потому что в	1	1
27	со стороны ее	1	1
28	а не в	2	1
29	между прочим и	1	1
30	на самом деле	3	1
31	он может быть	2	1
32	то же самое	1	1
33	он не может	1	1
34	можно и должно	1	1
35	не было и	1	1
36	вместе с тем	1	1
37	не может жить	1	1
38	одновременно и в	1	1
39	и не потому	1	1
40	в лучшем случае	1	1
41	том смысле в	1	1
42	не потому что	1	1
43	не теряя своей	1	1
44	в том же	1	1
45	того что в	1	1
46	в известном смысле	1	1
47	но можно и	1	1
48	с ним и	1	1
49	но может быть	1	1
50	и здесь же	1	1
51	тем или иным	1	1
52	мы имеем здесь	1	1
53	на этом пути	1	1
54	к отказу от	1	1
55	и ни в	2	1
56	от себя и	1	1
57	в свою очередь	1	1
58	он не имеет	1	1
59	наше время является	1	1
60	той или иной	2	1
61	не менее в	1	1
62	и в результате	1	1
63	вопрос о том	2	1
64	в другом случае	1	1
65	для того чтобы	1	1
66	в виду его	1	1
67	дело не в	1	1
