N	4gram	Propp_Morf_1	RusskieA
1	состоит в том что	2	8
2	выводы можно сделать из	1	2
3	какие же выводы можно	1	2
4	же выводы можно сделать	1	2
5	это не значит что	2	2
6	не имеет ничего общего	1	1
7	определить в какой степени	1	1
8	бросается в глаза что	1	1
9	как мы увидим ниже	3	1
10	как и в других	1	1
11	ниже мы увидим что	1	1
12	не имеет смысла но	1	1
13	приводит к тому что	1	1
14	в этом случае он	1	1
15	к тому что в	1	1
16	в тех случаях когда	2	1
17	можно сделать из приведенных	1	1
18	только в тех случаях	1	1
