N	2gram	Bakhtin_KF_1	Hudozhes
1	и в	24	28
2	том что	4	19
3	в ее	16	18
4	и не	26	18
5	в том	6	15
6	а не	17	14
7	в этом	14	13
8	не в	12	13
9	о том	3	12
10	не только	5	11
11	при этом	4	11
12	как и	5	11
13	в его	40	11
14	уже не	7	10
15	в себе	21	9
16	но и	9	9
17	так и	2	8
18	между тем	4	8
19	что он	2	8
20	себя в	8	8
21	в жизни	2	8
22	в душе	1	8
23	может быть	45	8
24	я не	6	7
25	по отношению	26	7
26	что она	1	7
27	в мире	6	7
28	об этом	1	7
29	к тому	1	7
30	как это	1	7
31	и все	7	7
32	с ним	5	7
33	жизни в	5	7
34	отношению к	22	7
35	я и	2	6
36	в котором	24	6
37	то же	5	6
38	не было	8	6
39	и с	1	6
40	в своей	10	6
41	в то	3	6
42	тем что	3	6
43	для себя	5	6
44	если бы	8	6
45	сводится к	2	6
46	можно сказать	1	6
47	это не	10	6
48	человеческой жизни	1	6
49	а в	4	6
50	то что	7	6
51	жизни и	8	6
52	жизни как	5	5
53	с его	1	5
54	в этой	2	5
55	как в	2	5
56	в самом	1	5
57	что это	3	5
58	рядом с	3	5
59	в своем	16	5
60	не менее	3	5
61	никогда не	5	5
62	ничего не	3	5
63	и его	17	5
64	она не	1	5
65	его жизни	3	5
66	только на	1	5
67	одно из	1	5
68	для него	8	5
69	как бы	9	5
70	с ее	2	5
71	что в	4	5
72	но не	12	4
73	он не	6	4
74	и уже	1	4
75	тем не	2	4
76	для нее	7	4
77	тому что	2	4
78	же время	2	4
79	и сама	1	4
80	и о	1	4
81	того чтобы	2	4
82	в конечном	1	4
83	только в	16	4
84	в качестве	2	4
85	что и	7	4
86	как раз	1	4
87	для того	3	4
88	превращается в	1	4
89	не может	27	4
90	бы и	3	4
91	была бы	1	3
92	чтобы не	2	3
93	едва ли	2	3
94	и он	1	3
95	в ней	3	3
96	но при	1	3
97	еще не	4	3
98	и на	3	3
99	столь же	1	3
100	со стороны	7	3
101	бы не	3	3
102	в нем	28	3
103	что все	1	3
104	мы уже	1	3
105	было бы	8	3
106	в это	2	3
107	соответствии с	2	3
108	несмотря на	1	3
109	в этих	1	3
110	любви и	1	3
111	как о	1	3
112	отдельного человека	1	3
113	ни о	1	3
114	к себе	2	3
115	же самое	1	3
116	в человеке	1	3
117	и это	12	3
118	не могу	3	3
119	к нему	12	3
120	одной из	1	3
121	с ними	3	3
122	и ее	2	3
123	для нас	4	3
124	конечном счете	1	3
125	в одном	4	3
126	на ее	1	3
127	а с	2	3
128	прежде всего	2	3
129	в соответствии	2	3
130	противоречие с	1	3
131	все это	10	3
132	или в	1	3
133	все они	1	3
134	по поводу	1	3
135	самом деле	3	3
136	все что	1	3
137	и то	2	2
138	в чужой	1	2
139	в первом	1	2
140	той же	1	2
141	а как	2	2
142	говорить о	2	2
143	а для	2	2
144	тем как	3	2
145	различия между	1	2
146	отношение к	5	2
147	более чем	1	2
148	все же	5	2
149	и к	1	2
