N	2gram	Losev_Vesc_1	Hudozhes
1	в качестве	1	19
2	и не	29	16
3	в том	8	15
4	и в	21	15
5	не только	36	15
6	в частности	1	13
7	тогда как	1	13
8	может быть	16	13
9	и его	2	12
10	при этом	1	12
11	а в	4	12
12	в себе	14	11
13	в этом	4	11
14	но не	5	11
15	я в	2	11
16	так и	3	10
17	но и	18	10
18	то же	6	10
19	а не	19	10
20	как бы	12	10
21	точки зрения	5	9
22	в его	2	9
23	сводится к	2	8
24	себя в	10	8
25	я и	6	7
26	в принципе	1	7
27	отличие от	1	7
28	в то	3	7
29	в отличие	1	7
30	с другой	6	7
31	но в	5	7
32	или иной	1	7
33	приводит к	1	6
34	не может	17	6
35	что в	9	6
36	не в	5	6
37	по своей	2	6
38	в ее	7	6
39	отношение к	1	6
40	в основе	3	6
41	с его	1	6
42	том что	8	6
43	с ее	6	5
44	можно сказать	6	5
45	в нем	2	5
46	тем самым	1	5
47	ни в	1	5
48	того что	8	5
49	между ними	3	5
50	то что	27	5
51	уже не	9	5
52	или менее	1	5
53	другой стороны	2	5
54	могут быть	1	5
55	в самом	9	5
56	а также	1	5
57	не предполагает	4	5
58	только в	14	5
59	более или	1	5
60	той или	2	5
61	еще не	8	4
62	в другом	2	4
63	хотя и	4	4
64	говорить о	6	4
65	прежде всего	9	4
66	личности в	1	4
67	к которому	1	4
68	как это	2	4
69	в своей	5	4
70	а только	3	4
71	для него	4	4
72	к тому	3	4
73	в этих	1	4
74	сказать что	17	4
75	в слове	2	4
76	не столько	1	4
77	со стороны	5	4
78	и тем	3	4
79	как к	4	4
80	и то	10	4
81	мы имеем	7	4
82	и как	8	4
83	и того	2	3
84	одно и	5	3
85	как и	8	3
86	в которой	1	3
87	но он	2	3
88	того же	5	3
89	не будет	12	3
90	и для	9	3
91	человеческой жизни	1	3
92	и ее	18	3
93	не менее	3	3
94	таким образом	8	3
95	к нему	1	3
96	как раз	9	3
97	объекта и	1	3
98	так в	1	3
99	и внешней	1	3
100	того или	1	3
101	его в	2	3
102	потому что	16	3
103	что он	1	3
104	в той	3	3
105	это не	5	3
106	и к	1	3
107	мог бы	5	3
108	одного и	1	3
109	к его	1	3
110	не на	1	3
111	в отношении	4	3
112	тем не	3	3
113	во всей	1	3
114	их в	3	3
115	и что	15	3
116	далеко не	1	3
117	с точки	3	3
118	не случайно	2	3
119	однако если	1	3
120	однако в	1	3
121	личности и	1	3
122	о чем	1	3
123	была бы	2	3
124	в пределах	1	3
125	в виду	2	3
126	если бы	5	3
127	в данном	5	3
128	в свою	4	3
129	во втором	2	3
130	все эти	3	2
131	что каждый	1	2
132	образом и	1	2
133	но она	3	2
134	есть в	1	2
135	или в	2	2
136	было и	2	2
137	могла бы	3	2
138	так же	1	2
139	случае не	1	2
140	говоря и	1	2
141	никто не	1	2
142	и больше	9	2
143	определенным образом	6	2
144	вовсе не	10	2
145	коем случае	1	2
146	в этой	3	2
147	только о	1	2
148	внутренней и	1	2
149	с ним	8	2
150	в аспекте	1	2
151	на этом	2	2
152	не вполне	2	2
153	дело не	2	2
154	с другими	8	2
155	того чтобы	3	2
156	во всех	2	2
157	по себе	13	2
158	тем или	1	2
159	в одном	2	2
160	одно из	1	2
161	что сама	1	2
162	жизни в	1	2
163	оно не	3	2
164	а именно	1	2
165	превращается в	1	2
166	к действительности	2	2
167	и притом	3	2
168	самим собою	2	2
169	в себя	13	2
170	для такого	2	2
171	от всех	4	2
172	и о	3	2
173	из которых	1	2
174	в данный	1	2
175	сама по	3	2
176	и прежде	1	2
177	с самим	4	2
178	между двумя	1	2
179	от себя	1	2
180	для меня	2	2
181	в коем	1	2
182	с человеком	1	2
183	имеем дело	3	2
184	из этого	1	2
185	это и	6	2
186	человека и	1	2
187	и составляет	1	2
188	в чем	6	2
189	в силу	3	2
190	не все	1	2
191	не является	1	2
192	для того	2	2
193	но на	2	2
194	и потому	5	2
195	тот или	1	2
196	собою в	1	2
197	а с	3	2
198	свою очередь	4	2
199	данный момент	1	2
200	об этом	3	2
201	или иначе	4	2
202	одной стороны	3	2
203	одна из	5	2
204	слова в	2	2
205	у него	2	2
206	по преимуществу	2	2
207	к другому	1	2
208	именно в	1	2
209	с одной	3	2
210	это тоже	1	2
211	тому что	2	2
212	о том	6	2
213	еще один	1	2
214	себя и	4	2
215	для себя	5	2
216	языка в	1	2
217	к бытию	1	2
218	несмотря на	1	2
219	я не	4	2
220	этих двух	2	2
221	своей является	1	2
222	проявляет себя	1	2
223	из которого	1	2
224	говорит что	1	2
225	могло быть	1	2
226	собственно говоря	4	2
227	и по	1	2
228	времени и	1	2
229	так или	4	2
230	и это	14	2
231	без остатка	1	2
232	в имени	15	2
233	втором случае	1	2
234	и более	1	2
235	основе своей	2	2
236	в своем	6	2
237	может не	2	1
238	форма в	1	1
239	быть определена	1	1
240	не могла	1	1
241	имя в	1	1
242	и совершенно	1	1
243	может и	1	1
244	для всех	1	1
245	на части	1	1
246	но из	1	1
247	себе в	3	1
248	относится не	2	1
249	из этих	1	1
250	ничто не	2	1
251	или иных	1	1
252	когда мы	6	1
253	не сама	2	1
254	и здесь	4	1
255	но с	2	1
256	личность как	2	1
257	бы в	5	1
258	для нас	2	1
259	в свое	2	1
260	в природу	4	1
261	о ней	2	1
262	когда же	1	1
263	пребывания в	1	1
264	в него	1	1
265	в собственном	2	1
266	в одно	1	1
267	с нею	18	1
268	вместе с	1	1
269	на их	2	1
270	его как	1	1
271	о котором	1	1
272	жизни и	2	1
273	внимание и	1	1
274	говорит о	1	1
275	бы то	4	1
276	от этого	2	1
277	только мы	2	1
278	что они	6	1
279	и который	1	1
280	с максимальной	1	1
281	собою как	1	1
282	общение с	9	1
283	весьма узко	1	1
284	момент в	6	1
285	и пусть	1	1
286	на это	4	1
287	в более	1	1
288	из всего	1	1
289	в бытии	1	1
290	мышления и	1	1
291	образом что	1	1
292	образа и	1	1
293	крайней мере	4	1
294	своему смыслу	1	1
295	как с	4	1
296	есть не	14	1
297	души и	1	1
298	себя самого	2	1
299	но чтобы	1	1
300	не было	1	1
301	смысла и	5	1
302	искусства и	1	1
303	предстает как	1	1
304	зависит от	1	1
305	и внешнее	1	1
306	на ее	3	1
307	только при	1	1
308	к языку	1	1
309	ее восприятия	1	1
310	для обозначения	1	1
311	на то	4	1
312	себя самой	2	1
313	в жизни	3	1
314	ту сторону	1	1
315	в отдельности	4	1
316	строго говоря	1	1
317	что это	13	1
318	здесь как	1	1
319	отнюдь не	5	1
320	бы ни	2	1
321	это ощущение	1	1
322	это еще	1	1
323	но мы	1	1
324	иное как	7	1
325	себе один	1	1
326	мы встречаем	1	1
327	свое время	2	1
328	и другие	1	1
329	в конце	2	1
330	мере в	1	1
331	в последние	2	1
332	ее понимания	2	1
333	никак нельзя	1	1
334	можно только	4	1
335	так что	5	1
336	или его	1	1
337	и без	3	1
338	нее нет	1	1
