N	4gram	Berdyaev_O_1	Mirosoze
1	о человеке и его	2	5
2	ретроградной и насмешливой физиономией	1	3
3	с ретроградной и насмешливой	1	3
4	случай сделается чтобы не	1	2
5	этот случай сделается чтобы	1	2
6	сумасшедшим на этот случай	1	2
7	в легенде о великом	3	2
8	по своей глупой воле	1	2
9	легенде о великом инквизиторе	3	2
10	своей глупой воле пожить	1	2
11	чтобы не иметь рассудка	1	2
12	и настоять на своем	1	2
13	единственно для того чтобы	2	2
14	сделается чтобы не иметь	1	2
15	легенды о великом инквизиторе	1	2
16	ты возжелал свободной любви	1	2
17	возжелал свободной любви человека	1	2
18	на этот случай сделается	1	2
19	не иметь рассудка и	1	2
20	иметь рассудка и настоять	1	2
21	динамично все в движении	1	2
22	нарочно сумасшедшим на этот	1	2
23	рассудка и настоять на	1	2
24	доказывал себе что он	1	1
25	может быть что и	1	1
26	пожелать себе даже и	1	1
27	к катастрофе за грани	1	1
28	от существа одаренного такими	1	1
29	что сам инстинктивно боится	1	1
30	из всего что есть	1	1
31	рассчитать по табличке и	1	1
32	разум и выгода хотеть	1	1
33	на земле к которой	1	1
34	кто уже с идеалом	1	1
35	т е от разрушения	1	1
36	все внимание его было	1	1
37	чтобы ко всему этому	1	1
38	еще люди а не	1	1
39	идеала мадонны а кончает	1	1
40	выгод даже и в	1	1
41	и рассудок возьмет свое	1	1
42	какая уж тут своя	1	1
43	с обычным различием между	1	1
44	частности может быть выгоднее	1	1
45	уже с идеалом содомским	1	1
46	только страшная но и	1	1
47	и что зло имея	1	1
48	только дважды два четыре	1	1
49	никогда не откажется страдание	1	1
50	внимание его было устремлено	1	1
51	выгоднее для нашего брата	1	1
52	красота перенести я притом	1	1
53	эти мудрецы что человеку	1	1
54	могу что иной высший	1	1
55	знает может быть что	1	1
56	человек всегда и везде	1	1
57	на периферии бытия но	1	1
58	выгодах потому что во	1	1
59	воля будет когда дело	1	1
60	цель на земле к	1	1
61	тебе была дороже всего	1	1
62	лучше сказать с ретроградной	1	1
63	насыщено страстным к нему	1	1
64	есть один только случай	1	1
