N	3gram	Bakhtin_Pr_3	KFilosof
1	по отношению к	5	21
2	не может быть	6	11
3	с точки зрения	4	10
4	в его целом	2	9
5	в чем не	2	4
6	ни в чем	2	4
7	в этом смысле	4	3
8	и в своей	1	3
9	и в этом	2	3
10	в нем и	1	3
11	на самом деле	10	3
12	в котором он	1	3
13	но все эти	1	3
14	во всех отношениях	1	2
15	в то же	12	2
16	вопрос о том	1	2
17	бы то ни	4	2
18	бы он ни	3	2
19	и только в	1	2
20	он ни был	3	2
21	раз и навсегда	1	2
22	точки зрения смысла	1	2
23	один и тот	1	2
24	в своем смысле	1	2
25	и все эти	1	2
26	и тот же	1	2
27	в том что	1	2
28	и ни в	1	2
29	то же время	12	2
30	той или иной	2	2
31	а не в	2	2
32	то что я	2	2
33	тем не менее	2	2
34	на первом плане	1	2
35	то ни было	4	2
36	в том же	1	1
37	но все это	2	1
38	не было и	1	1
39	лежит в основе	1	1
40	на один миг	1	1
41	входит в его	1	1
42	и кажется что	1	1
43	в большинстве случаев	2	1
44	из него все	1	1
45	для него самого	1	1
46	в непосредственной близости	1	1
47	и было бы	1	1
48	в ней в	1	1
49	в основе нашей	1	1
50	и не в	3	1
51	то что уже	1	1
52	смысле этого слова	2	1
53	к нему он	2	1
54	что может быть	1	1
55	и в то	5	1
56	но в то	3	1
57	слова и его	3	1
58	но может быть	1	1
59	в этот момент	1	1
60	к той же	1	1
61	может быть и	1	1
62	для того чтобы	1	1
63	потому что в	1	1
64	на то что	1	1
65	что и в	1	1
66	бы меня не	1	1
67	к тому что	1	1
68	то все же	2	1
69	и того же	1	1
70	остановимся еще на	1	1
71	вмещает в себя	1	1
72	и как бы	1	1
73	слово не может	1	1
74	в его действительной	1	1
75	но в этом	1	1
76	непосредственной близости к	1	1
77	и то что	1	1
78	как если бы	1	1
79	этом смысле можно	1	1
80	хотя бы и	2	1
81	в виду и	1	1
82	он не может	3	1
83	в значительной степени	1	1
84	во всяком случае	5	1
85	развивается как бы	1	1
86	одного и того	1	1
87	как бы два	2	1
88	ясно и отчетливо	1	1
89	мог бы быть	1	1
90	с ним и	1	1
91	он должен быть	1	1
92	жизнь и это	1	1
93	и не должен	1	1
94	какого бы то	1	1
95	не вступает в	1	1
96	со всех сторон	1	1
97	точки зрения формальной	1	1
98	сознания и не	1	1
99	точки зрения его	1	1
100	в нем нет	1	1
101	даже там где	1	1
102	и в своих	1	1
103	как бы ни	1	1
104	оно должно быть	1	1
105	и в нем	3	1
106	о нем но	1	1
107	в котором не	1	1
108	в нем не	1	1
109	вместе с тем	2	1
110	ведь оно не	1	1
111	для него и	1	1
112	своем смысле и	1	1
113	и по отношению	1	1
114	в свою очередь	1	1
115	несмотря на то	1	1
116	до того что	1	1
117	время от времени	2	1
118	отношении к нему	1	1
