N	3gram	Medvedev_F_1	Myshleni
1	в том что	1	21
2	с точки зрения	13	18
3	с одной стороны	4	7
4	в высшей степени	1	7
5	заключается в том	1	7
6	в зависимости от	2	6
7	в связи с	2	6
8	во всяком случае	4	6
9	не может быть	5	6
10	по отношению к	4	5
11	в процессе развития	1	5
12	по сравнению с	1	5
13	в том чтобы	2	4
14	в последнее время	1	4
15	в предисловии к	1	4
16	состоит в том	1	3
17	в том числе	1	3
18	в отличие от	1	3
19	том числе и	1	3
20	в данном случае	1	3
21	смысле этого слова	3	3
22	мы не можем	2	3
23	в этом отношении	1	3
24	более или менее	6	2
25	на самом деле	6	2
26	в этом смысле	1	2
27	одной стороны и	4	2
28	в этом пункте	2	2
29	хотя бы и	1	2
30	к тому чтобы	1	2
31	зависимости от этого	1	2
32	друг от друга	2	2
33	сама по себе	2	2
34	независимо друг от	1	2
35	мы увидим что	1	2
36	по своей природе	1	1
37	не может не	1	1
38	того чтобы вскрыть	1	1
39	зависимости от того	1	1
40	сводится к тому	2	1
41	этой точки зрения	1	1
42	здесь может быть	1	1
43	том чтобы раскрыть	1	1
44	точки зрения этих	1	1
45	что перед нами	1	1
46	как и во	1	1
47	какого бы то	1	1
48	в том и	1	1
49	что как бы	1	1
50	существует независимо от	1	1
51	до сих пор	6	1
52	в своей книге	2	1
53	как и все	2	1
54	тот или иной	1	1
55	бы то ни	3	1
56	на самом же	1	1
57	вместо того чтобы	1	1
58	но для этого	1	1
59	за ней в	1	1
60	или хотя бы	1	1
61	если оно не	1	1
62	лишь в процессе	1	1
63	в этом процессе	2	1
64	как если бы	2	1
65	в своем исследовании	1	1
66	в самой природе	1	1
67	его сознания и	1	1
68	и в частности	2	1
69	не приводит к	1	1
70	в целом и	1	1
71	для нас это	1	1
72	в применении к	2	1
73	только и может	2	1
74	сами по себе	2	1
75	то ни было	1	1
76	одновременно на двух	1	1
77	целом и в	1	1
78	прежде всего чисто	1	1
79	в обоих его	1	1
80	смысле слова в	1	1
81	все эти теории	1	1
82	можем согласиться с	1	1
83	все эти основные	1	1
84	все более и	2	1
85	и тем самым	1	1
86	возникновения и развития	1	1
87	социологической точки зрения	1	1
88	с социологической точки	1	1
89	но вместе с	1	1
90	эта точка зрения	1	1
91	том и заключается	1	1
92	совершается не от	1	1
93	с другой стороны	1	1
94	так же как	1	1
95	по себе не	1	1
96	упускается из виду	1	1
97	которой только и	1	1
98	ко всем вообще	1	1
99	связи с этим	2	1
100	ничего общего с	1	1
101	дело идет о	2	1
102	с самого начала	1	1
103	не только не	2	1
104	в отрыве от	1	1
105	как бы ни	3	1
106	более и более	2	1
107	в одном отношении	1	1
108	по существу это	1	1
109	в этой книге	1	1
110	к действительности и	1	1
111	и с точки	1	1
112	то же что	1	1
113	этого слова а	1	1
114	как одна из	1	1
115	не можем согласиться	1	1
116	точки зрения этой	1	1
117	самом же деле	1	1
118	с помощью этого	1	1
119	все это не	1	1
120	и ко всем	1	1
121	как мы видели	2	1
