N	2gram	Tiupa_Lite_3	Problema
1	то есть	5	46
2	в его	6	43
3	и не	22	42
4	и в	16	38
5	эстетический объект	3	37
6	эстетического объекта	6	37
7	познания и	1	30
8	не может	8	27
9	может быть	12	26
10	как бы	8	22
11	по отношению	4	21
12	в художественном	1	20
13	отнюдь не	3	19
14	отношению к	4	19
15	и с	2	17
16	и его	6	16
17	в этом	14	15
18	в нем	2	15
19	и т	1	14
20	только в	7	13
21	т п	1	13
22	прежде всего	3	13
23	независимо от	1	13
24	но не	4	12
25	за пределы	1	12
26	в эстетический	1	12
27	художественного творчества	2	12
28	в единстве	3	12
29	в искусстве	1	12
30	художественного произведения	2	11
31	во всех	2	11
32	в области	3	11
33	и для	4	11
34	отношение к	2	10
35	в их	1	10
36	к нему	1	10
37	не только	14	9
38	в поэзии	5	9
39	не имеет	1	9
40	его в	2	9
41	но и	14	9
42	и как	3	8
43	входит в	4	8
44	было бы	2	8
45	точки зрения	7	8
46	место в	4	8
47	в том	12	8
48	художественное произведение	2	8
49	то что	12	8
50	еще не	6	7
51	в самом	3	7
52	вообще не	1	7
53	как и	5	7
54	не в	10	7
55	как мы	2	7
56	художественное творчество	2	7
57	с другой	6	7
58	между тем	3	7
59	объекта и	2	7
60	но отнюдь	1	7
61	совершенно не	3	7
62	в своей	7	7
63	что в	2	7
64	отношения к	3	6
65	самом деле	3	6
66	там где	3	6
67	и наконец	3	6
68	не к	1	6
69	не всегда	2	6
70	с точки	3	6
71	не есть	1	6
72	можно только	1	6
73	человеческой культуры	1	6
74	произведение в	1	6
75	все же	2	6
76	а в	5	6
77	объект в	2	5
78	тем как	1	5
79	отличие от	5	5
80	в своем	1	5
81	объекта в	2	5
82	при этом	15	5
83	то же	9	5
84	в музыке	1	5
85	это не	5	5
86	в них	1	5
87	далеко не	2	5
88	в отличие	5	5
89	так и	9	5
90	произведения в	3	5
91	в основе	5	5
92	и о	1	5
93	никогда не	4	5
94	конечно не	1	5
95	за бортом	2	5
96	художника и	2	5
97	не на	1	5
98	а не	12	5
99	со словом	1	5
100	быть только	2	5
101	должно быть	4	5
102	на границах	1	5
103	все они	2	5
104	на самом	1	4
105	в виду	1	4
106	в ней	1	4
107	конечном счете	1	4
108	как в	5	4
109	но в	3	4
110	к художественному	1	4
111	в нашем	1	4
112	в себе	6	4
113	в данном	4	4
114	объект и	2	4
115	с миром	1	4
116	не менее	2	4
117	тем самым	7	4
118	в то	9	4
119	чтобы стать	1	4
120	здесь не	2	4
121	в ее	5	4
122	данном случае	4	4
123	не с	2	4
124	о том	6	4
125	в конечном	1	4
126	с ними	2	4
127	и только	2	4
128	что не	2	4
129	в романе	3	4
130	более того	3	4
131	только по	1	4
132	и потому	2	4
133	себя самого	1	4
134	лишь как	1	4
135	хотя бы	1	4
136	вне себя	2	4
137	может и	1	4
138	сказать что	1	4
139	другой стороны	2	4
140	например в	3	3
141	едва ли	3	3
142	эстетическом объекте	1	3
143	говорить о	1	3
144	бы то	2	3
145	сказать и	2	3
146	в эстетическом	1	3
147	нет и	1	3
148	значение имеет	1	3
149	значение для	1	3
150	и эстетического	1	3
151	и к	3	3
152	в целом	5	3
153	вследствие этого	2	3
154	он не	1	3
