N	3gram	Tiupa_Hudo_2	Vladivir
1	о том что	7	7
2	в том что	11	7
3	дело в том	1	4
4	то же время	4	4
5	и то что	1	4
6	в течение всей	1	4
7	в то же	4	4
8	том что в	3	3
9	что он не	1	3
10	с другой стороны	1	3
11	не может быть	3	3
12	мы знаем что	1	2
13	течение всей жизни	1	2
14	в ответ на	1	2
15	как раз и	1	2
16	и в то	2	2
17	не только в	2	2
18	в то время	1	2
19	об этом и	1	2
20	можно сказать что	1	2
21	можно судить по	1	2
22	тем не менее	3	2
23	для того чтобы	3	2
24	что и в	1	2
25	к тому же	2	2
26	и т д	2	2
27	это же самое	1	1
28	да и в	1	1
29	нет и не	1	1
30	и это было	1	1
31	мы имеем дело	1	1
32	в самом деле	3	1
33	в настоящее время	1	1
34	так и не	4	1
35	что у нее	2	1
36	бы то ни	1	1
37	как это часто	1	1
38	что не только	1	1
39	в то что	1	1
40	не было ничего	1	1
41	что можно сказать	1	1
42	к жизни и	1	1
43	о чем не	1	1
44	в это время	1	1
45	то время как	1	1
46	содержит в себе	1	1
47	у него в	1	1
48	он получил в	1	1
49	с одной стороны	3	1
50	а также и	1	1
51	и в этом	2	1
52	а с другой	1	1
53	имеем дело с	1	1
54	так или иначе	1	1
55	но и его	1	1
56	а также о	1	1
57	только в таком	1	1
58	и в том	1	1
59	а в том	1	1
60	заключается в том	1	1
61	у него по	1	1
62	но и для	1	1
63	не только не	2	1
64	в котором он	1	1
65	ему казалось что	2	1
66	сразу же после	1	1
67	характер с одной	1	1
68	к тому что	4	1
69	в его жизни	1	1
70	со стороны же	1	1
71	на другой день	2	1
72	только об этом	1	1
73	в жизни и	1	1
74	в этом отношении	1	1
