N	2gram	Losev_Dial_2	UchenyiS
1	и в	19	14
2	а не	16	10
3	не только	19	10
4	и не	30	8
5	прежде всего	8	8
6	в этом	8	7
7	вот почему	1	7
8	не может	9	7
9	то что	14	7
10	может быть	20	6
11	в искусстве	2	6
12	и только	4	5
13	все это	4	5
14	то же	12	5
15	хотя бы	4	5
16	в их	2	4
17	что такое	3	4
18	с другой	5	4
19	конечно не	6	4
20	но и	12	4
21	в этой	3	4
22	бы то	1	3
23	в своей	8	3
24	все же	4	3
25	не как	2	3
26	то ни	1	3
27	в то	6	3
28	же время	5	3
29	или точнее	3	3
30	в частности	2	3
31	к сожалению	2	3
32	другой стороны	4	3
33	очевидно что	2	3
34	в области	2	3
35	но в	2	3
36	не о	1	3
37	и то	7	3
38	было бы	3	3
39	это не	10	3
40	как и	10	3
41	только к	2	3
42	в системе	2	2
43	этого термина	1	2
44	форму и	1	2
45	в себе	15	2
46	бы и	2	2
47	мы получаем	2	2
48	и с	5	2
49	же не	3	2
50	нас в	1	2
51	по себе	18	2
52	конце концов	1	2
53	надо было	1	2
54	мы и	1	2
55	интереса к	1	2
56	все они	1	2
57	но не	6	2
58	как принцип	1	2
59	очевидно не	1	2
60	как таковой	4	2
61	ничего не	3	2
62	сколько угодно	1	2
63	по существу	1	2
64	этом смысле	1	2
65	тем что	2	2
66	превращается в	1	2
67	даже и	1	2
68	о чем	3	2
69	их и	1	2
70	в широком	2	2
71	не все	1	2
72	крайней мере	9	2
73	что она	14	2
74	это было	3	2
75	что он	6	2
76	что все	1	2
77	должна быть	5	2
78	в том	14	2
79	только в	5	2
80	между тем	2	2
81	таким образом	4	2
82	это уже	2	2
83	на первый	1	2
84	но даже	1	2
85	что и	5	2
86	по крайней	9	2
87	всех этих	3	2
88	в его	1	2
89	тех или	2	2
90	сих пор	2	2
91	как раз	5	2
92	могут быть	4	2
93	что мы	2	2
94	не в	8	2
95	литературы и	1	2
96	его и	1	2
97	же самое	2	2
98	в самом	5	2
99	самом деле	4	2
100	мы не	1	2
101	этом отношении	1	2
102	в конце	2	2
103	только прием	1	2
104	но это	7	2
105	не есть	47	2
106	том что	10	2
107	не могут	4	2
108	до сих	2	2
109	в некоторых	2	2
110	то и	1	1
111	что по	2	1
112	это то	1	1
113	друг с	1	1
114	и что	5	1
115	связанные с	1	1
116	тому чтобы	1	1
117	в которой	2	1
118	есть ли	5	1
119	обе эти	1	1
120	он не	4	1
121	оказывается чрезвычайно	1	1
122	красок и	1	1
123	в сфере	2	1
124	почти не	1	1
125	с другом	1	1
126	об этом	3	1
127	еще раз	1	1
128	содержание и	1	1
129	есть слово	1	1
130	отнюдь не	6	1
131	один пример	1	1
132	само по	2	1
133	поэзии же	1	1
134	оно все	1	1
135	приводит к	1	1
136	все что	1	1
137	что под	1	1
138	на его	2	1
139	с тем	2	1
140	он может	2	1
141	тот же	1	1
142	это значит	8	1
143	религии и	1	1
144	в храме	1	1
145	быть по	1	1
146	поэзии и	4	1
147	в различных	1	1
148	по его	1	1
149	бы это	3	1
150	или по	2	1
151	в свое	1	1
152	в виду	5	1
153	направлено на	1	1
154	форма в	1	1
155	не то	5	1
156	тем более	1	1
157	независимо от	4	1
158	данном случае	2	1
159	появляется уже	1	1
160	отдельности и	1	1
161	же как	3	1
162	по теории	1	1
163	путь и	1	1
164	или даже	1	1
165	но тут	3	1
166	без этого	4	1
167	тут мы	2	1
168	она в	1	1
169	так то	1	1
170	время на	1	1
171	можно сказать	5	1
172	одно из	4	1
173	она не	8	1
174	но он	4	1
175	от смысла	5	1
176	своем месте	1	1
177	но что	7	1
178	только как	3	1
179	или меньшей	1	1
180	о котором	3	1
181	сказать что	10	1
182	мы можем	1	1
183	о том	5	1
184	существует в	1	1
185	не существует	1	1
186	его как	1	1
187	что же	2	1
188	не без	1	1
189	было и	1	1
190	ее в	2	1
191	бы только	2	1
192	и потому	5	1
193	только для	1	1
194	все его	3	1
195	и этого	1	1
196	ее к	1	1
197	равно как	1	1
198	даже не	1	1
199	было у	1	1
200	больше чем	1	1
201	что в	7	1
202	он был	1	1
203	а это	1	1
204	тогда когда	6	1
205	анализу и	1	1
206	первый взгляд	1	1
207	к которой	1	1
208	это же	1	1
209	как на	1	1
210	временной последовательности	1	1
211	и искусства	1	1
212	же в	2	1
213	какие-то особые	1	1
214	того что	6	1
215	с одной	2	1
216	этого сложного	1	1
217	должно быть	7	1
218	на своем	1	1
219	и независимо	1	1
220	уже не	3	1
221	в наиболее	1	1
222	говорить не	1	1
223	так и	10	1
224	в таком	4	1
225	или менее	2	1
226	и действительно	1	1
227	в виде	2	1
228	мы имеем	3	1
229	формы как	1	1
230	время не	3	1
231	или иначе	2	1
232	человека и	2	1
233	большей или	1	1
234	искусства и	1	1
235	искусство и	3	1
236	так или	2	1
237	состоит из	1	1
238	но если	1	1
239	если нет	1	1
240	исторических фактов	2	1
241	более или	2	1
242	определенного времени	1	1
243	об ее	2	1
244	в той	3	1
245	нет и	1	1
246	друг другу	1	1
247	широком смысле	2	1
248	и все	12	1
249	оно по	1	1
250	остается в	1	1
251	или просто	1	1
252	сюда же	1	1
253	и это	5	1
254	не было	3	1
255	и др	1	1
256	на то	1	1
257	сам по	3	1
258	одной стороны	1	1
259	со своими	1	1
260	которой все	1	1
261	никогда не	9	1
262	он в	1	1
263	как живой	1	1
264	что ему	1	1
265	и даже	14	1
266	невозможна без	1	1
267	в котором	1	1
268	бывает что	1	1
269	быть в	4	1
270	как таковая	1	1
271	и истории	1	1
272	его на	1	1
273	и вне	1	1
274	из которых	1	1
275	у него	1	1
276	строго говоря	1	1
277	что с	2	1
278	во мне	4	1
279	и делает	2	1
280	творчество и	1	1
281	за пределы	4	1
282	отлична от	1	1
283	в нем	10	1
284	бы ни	2	1
285	и эта	1	1
286	что этот	3	1
287	в ней	2	1
288	все в	2	1
289	именно этот	1	1
290	что угодно	1	1
291	того как	2	1
292	и прежде	2	1
293	у пушкина	2	1
294	слова а	1	1
295	простое как	1	1
296	это в	1	1
297	была уже	1	1
298	далеко не	1	1
299	в порядке	1	1
300	смысле и	1	1
301	в отдельности	1	1
302	не самый	2	1
303	вне его	1	1
304	их в	2	1
305	как таковым	2	1
306	месте в	1	1
307	уже значительно	1	1
308	но для	1	1
309	в своем	4	1
310	в данном	3	1
311	не значит	3	1
312	оно конечно	1	1
