N	2gram	Tiupa_Teor_1	Tvorches
1	и в	18	21
2	как бы	5	17
3	в то	6	15
4	то же	7	13
5	времени в	2	13
6	в его	6	13
7	то есть	12	12
8	как и	4	12
9	же время	5	12
10	что в	9	12
11	с его	5	11
12	том что	9	11
13	все это	2	10
14	в романе	3	10
15	как в	5	8
16	он не	3	8
17	то что	3	8
18	в году	1	7
19	и на	1	7
20	но в	9	7
21	что достоевский	1	7
22	не только	16	7
23	при этом	12	7
24	тем самым	4	7
25	у него	1	7
26	и не	13	7
27	в том	16	7
28	в свою	3	7
29	в этом	8	6
30	не менее	4	6
31	и его	8	6
32	о том	1	6
33	что он	1	6
34	для него	2	6
35	а в	13	6
36	жизни в	2	6
37	отнюдь не	3	5
38	в этой	3	5
39	таким образом	3	5
40	вовсе не	3	5
41	в своих	1	5
42	в повести	2	5
43	в русской	6	5
44	потому что	3	5
45	как будто	2	5
46	только в	6	5
47	может быть	17	5
48	а не	9	5
49	это уже	1	5
50	человека и	1	4
51	конечном счете	6	4
52	в своем	4	4
53	и как	2	4
54	в целом	3	4
55	самим собой	3	4
56	это не	2	4
57	свое я	1	4
58	в своей	6	4
59	своего рода	7	4
60	не случайно	5	4
61	по сути	2	4
62	в мире	19	4
63	времени и	2	4
64	в конечном	6	4
65	русской литературе	2	4
66	одной из	2	4
67	в финале	3	4
68	прежде всего	2	4
69	в момент	2	4
70	не может	4	4
71	и от	1	4
72	один из	2	4
73	одним из	2	4
74	я и	2	3
75	ту же	1	3
76	той же	1	3
77	я не	2	3
78	человеческих отношений	1	3
79	хотя и	3	3
80	в самом	4	3
81	сливается с	1	3
82	представляет собой	9	3
83	в нем	4	3
84	он ни	1	3
85	первой части	2	3
86	на его	1	3
87	на земле	1	3
88	и по	2	3
89	в каждом	1	3
90	что все	1	3
91	авторской позиции	1	3
92	соответствии с	2	3
93	далеко не	2	3
94	в их	2	3
95	место в	5	3
96	даже в	3	3
97	дело не	2	3
98	дело в	2	3
99	не по	1	3
100	героев и	1	3
101	никогда не	4	3
102	с ее	3	3
103	и другие	2	3
104	того что	4	3
105	действительной жизни	1	3
106	который в	2	3
107	во времени	3	3
108	уже не	4	3
109	говорит о	1	3
110	так как	1	3
111	в соответствии	3	3
112	человек как	1	3
113	в которой	2	3
114	и даже	2	3
115	с другой	7	3
116	но и	9	3
117	в рассказе	2	3
118	но не	9	3
119	сути дела	1	3
120	не существует	1	3
121	ее в	2	3
122	так же	2	3
123	того же	3	2
124	на деле	2	2
125	в первом	2	2
126	по преимуществу	4	2
127	действительности и	1	2
128	есть не	1	2
129	и высшей	1	2
130	на первом	1	2
131	но она	2	2
132	героев в	1	2
133	героя и	5	2
134	собой в	1	2
135	в отличие	6	2
136	в чем	1	2
137	если в	2	2
138	отличие от	6	2
139	каждой человеческой	1	2
140	в одной	1	2
141	как к	2	2
142	говорит что	2	2
143	то в	2	2
144	в себе	9	2
145	что она	2	2
146	тем не	3	2
147	в принципе	4	2
148	отношений между	1	2
149	здесь мы	1	2
150	не будет	2	2
151	а затем	1	2
152	о котором	1	2
153	и тем	3	2
154	когда я	1	2
155	в данном	8	2
156	ведет к	1	2
157	и того	3	2
158	в этих	3	2
159	не во	1	2
160	не столько	1	2
161	каждом человеке	1	2
162	не в	7	2
163	в пространстве	2	2
164	но он	3	2
165	по крайней	1	2
166	однако в	7	2
167	между людьми	1	2
168	и притом	2	2
169	в основе	3	2
170	свободы и	1	2
171	иными словами	1	2
172	свидетельствует о	1	2
173	личности в	3	2
174	своего я	1	2
175	могут быть	4	2
176	является одним	1	2
177	к тому	2	2
178	отказаться от	1	2
